Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources
11,Paris Texas,1984,Wim Wenders,Drama,A mute amnesiac wanders out of the Texas desert and slowly reconnects with his young son before seeking out the wife he abandoned years ago.,Won Palme d'Or at Cannes; BAFTA Best Director; one of the defining films of 1980s European cinema,Cannes Film Festival; BAFTA
12,Das Boot,1981,Wolfgang Petersen,War,The claustrophobic hellscape of a German U-boat during World War II becomes an unbearably tense experience of survival and disillusionment.,6 Oscar noms; BAFTA Best Director; one of the greatest war films and foreign language films ever made,Oscars; BAFTA
13,The Last Emperor,1987,Bernardo Bertolucci,Drama,The extraordinary life of Pu Yi the last emperor of China from his sheltered childhood in the Forbidden City through revolution and re-education.,Won 9 Oscars incl. Best Picture/Director (swept every category nominated); BAFTA Best Film,Oscars; BAFTA
14,Yentl,1983,Barbra Streisand,Musical,A young Jewish woman in Eastern Europe disguises herself as a boy to pursue religious studies and finds herself in a complicated love triangle.,Won Oscar for Best Original Song Score; 5 noms; Golden Globe Best Director (first woman to win); directed/produced/starred Streisand,Oscars; Golden Globes
15,Platoon,1986,Oliver Stone,War,A young volunteer experiences the soul-destroying reality of the Vietnam War and is torn between two sergeants who represent competing moral visions.,Won 4 Oscars incl. Best Picture/Director; 8 noms; Golden Globe Best Picture Drama; $138M domestic,Oscars; Golden Globes
16,Vagabond,1985,Agnes Varda,Drama,The frozen body of a young female drifter is found in a ditch and those who encountered her retrace the final weeks of her fiercely independent life.,Won Golden Lion at Venice; Cesar nom; Agnes Varda masterpiece; one of the great feminist films,Venice Film Festival; Cesar Awards
17,Hope and Glory,1987,John Boorman,Drama,A nine-year-old boy experiences the London Blitz as the greatest adventure of his life in this warmly autobiographical wartime comedy-drama.,5 Oscar noms incl. Best Picture/Director; John Boorman's most personal film; BAFTA nom,Oscars
18,The Color Purple,1985,Steven Spielberg,Drama,An African American woman in the rural South endures decades of abuse before finding her voice and independence through female solidarity.,11 Oscar noms (won none); $94M domestic; Golden Globe noms; AFI Top 100 nominated,Oscars; AFI
19,The Dresser,1983,Peter Yates,Drama,An aging actor-manager's devoted dresser struggles to get him through one more performance of King Lear amid wartime London bombing raids.,5 Oscar noms incl. Best Picture/Actor (Tom Courtenay/Albert Finney); BAFTA nom,Oscars
20,Ordinary People,1980,Robert Redford,Drama,An affluent suburban family disintegrates under the weight of grief and repressed emotion following the accidental death of their elder son.,Won 4 Oscars incl. Best Picture/Director; 6 noms; Golden Globe Best Picture Drama,Oscars; Golden Globes
21,Working Girl,1988,Mike Nichols,Comedy,A savvy Staten Island secretary steals back her own business idea from her treacherous boss and climbs the corporate ladder in 1980s Manhattan.,6 Oscar noms incl. Best Picture/Director; Won Original Song; $63M domestic; Melanie Griffith/Harrison Ford/Sigourney Weaver,Oscars
22,Out of Africa,1985,Sydney Pollack,Romance,A Danish baroness recounts her years running a coffee plantation in Kenya and her doomed love affair with a free-spirited hunter.,Won 7 Oscars incl. Best Picture/Director; 11 noms; $87M domestic,Oscars
23,The Verdict,1982,Sidney Lumet,Drama,An alcoholic ambulance-chasing lawyer takes on a medical malpractice case against a powerful hospital and rediscovers his sense of justice.,5 Oscar noms incl. Best Picture/Actor/Director; one of the finest courtroom dramas ever made,Oscars
24,Witness,1985,Peter Weir,Thriller,A tough Philadelphia detective hides among the Amish community to protect a young boy who witnessed a murder and finds an unexpected connection.,Won 2 Oscars; 8 noms incl. Best Picture/Director; $68M domestic; Harrison Ford Oscar nominated,Oscars
25,Amadeus,1984,Milos Forman,Drama,The tormented court composer Salieri recounts his consuming jealousy of the divinely gifted but vulgar Mozart in this lavish period masterpiece.,Won 8 Oscars incl. Best Picture/Director/Actor; 11 noms; AFI Top 100,AFI; Oscars
26,Fatal Attraction,1987,Adrian Lyne,Thriller,A married man's weekend affair with an unstable woman turns into a terrifying nightmare as she refuses to let go.,6 Oscar noms incl. Best Picture/Director/Actress; $156M domestic; defined the erotic thriller genre; massive cultural phenomenon,Oscars
27,The Stunt Man,1980,Richard Rush,Action,A fugitive hides out on a movie set as a stunt man for an enigmatic director in this wildly inventive film-within-a-film thriller.,3 Oscar noms incl. Best Actor/Director; cult classic; one of the most underappreciated films of 1980,Oscars
28,Gandhi,1982,Richard Attenborough,Drama,The sweeping biographical epic of Mahatma Gandhi charting his transformation from young lawyer to leader of India's nonviolent independence movement.,Won 8 Oscars incl. Best Picture/Director/Actor (Ben Kingsley); 11 noms; $52M domestic,Oscars; AFI
29,Rain Man,1988,Barry Levinson,Drama,A selfish car dealer discovers he has an autistic savant brother and kidnaps him from an institution for a cross-country road trip that transforms them both.,Won 4 Oscars incl. Best Picture/Director/Actor (Dustin Hoffman); 8 noms; $172M domestic,Oscars
30,Terms of Endearment,1983,James L. Brooks,Drama,A domineering mother and her headstrong daughter navigate decades of love conflict and heartbreak in this emotionally devastating comedy-drama.,Won 5 Oscars incl. Best Picture/Director/Actress/Supporting Actor; 11 noms; $108M domestic,Oscars
31,Brazil,1985,Terry Gilliam,Sci-Fi,A bureaucratic drone in a retro-futuristic totalitarian society dreams of freedom and romance while the machinery of the state closes in around him.,2 Oscar noms; LA Film Critics Best Film/Director/Screenplay; BFI Sight & Sound poll,BFI Sight & Sound; Oscars; LA Film Critics
32,Chariots of Fire,1981,Hugh Hudson,Drama,Two British athletes one a devout Scottish Christian and the other a Jewish student at Cambridge prepare for the 1924 Paris Olympics.,Won 4 Oscars incl. Best Picture/Original Score (Vangelis); 7 noms; iconic score became a cultural touchstone,Oscars
33,Blue Velvet,1986,David Lynch,Thriller,A young man discovers a severed ear in a field and is drawn into a nightmarish underworld of sexual violence and corruption beneath small-town America.,Oscar nom for Best Director; National Society of Film Critics Best Film; BFI Sight & Sound poll,BFI Sight & Sound; National Society of Film Critics
34,Cinema Paradiso,1988,Giuseppe Tornatore,Drama,A young Sicilian boy develops a profound friendship with the local cinema's projectionist and grows up with an all-consuming love of film in this achingly nostalgic tribute to cinema and lost childhood.,Won Oscar for Best Foreign Language Film; Cannes Jury Prize; BFI Sight & Sound poll; Roger Ebert Great Movies; one of the most beloved films ever made,Oscars; Cannes Film Festival; BFI Sight & Sound; Roger Ebert
35,The Last Temptation of Christ,1988,Martin Scorsese,Drama,Jesus Christ struggles with doubt and human desire as he faces the ultimate sacrifice in this controversial and deeply personal religious epic.,Oscar nom for Best Director; massively controversial; Scorsese passion project; National Film Registry consideration,Oscars
36,The Sacrifice,1986,Andrei Tarkovsky,Drama,On the eve of nuclear war an intellectual makes a desperate bargain with God in Tarkovsky's final film a profound meditation on faith and sacrifice.,Grand Prix at Cannes; FIPRESCI Prize; Tarkovsky's final masterwork,Cannes Film Festival
37,Dangerous Liaisons,1988,Stephen Frears,Drama,Two jaded aristocrats in pre-revolutionary France wage a cynical game of seduction and manipulation that ultimately destroys them both.,"Won 3 Oscars (Adapted Screenplay, Art Direction, Costume Design); 7 noms; BAFTA Best Film",Oscars; BAFTA
38,The Killing Fields,1984,Roland Joffe,Drama,A New York Times journalist and his Cambodian translator are separated during the Khmer Rouge takeover in this devastating true story of survival.,Won 3 Oscars incl. Best Supporting Actor (Haing S. Ngor); 7 noms; BAFTA Best Film,Oscars; BAFTA
39,Birdy,1984,Alan Parker,Drama,Two friends from Philadelphia one a Vietnam casualty the other obsessed with birds try to reconnect in a VA hospital in this haunting character study.,Grand Prix at Cannes; Nicolas Cage/Matthew Modine; Peter Gabriel score; Alan Parker's most acclaimed film,Cannes Film Festival
40,A Short Film About Killing,1988,Krzysztof Kieslowski,Drama,A young drifter commits a random murder and faces the death penalty in this devastating examination of state-sanctioned violence from the Dekalog series.,Won Jury Prize at Cannes; European Film Award; FIPRESCI Prize; launched Kieslowski internationally,Cannes Film Festival; European Film Awards
41,Empire of the Sun,1987,Steven Spielberg,War,A privileged British boy is separated from his parents during the Japanese invasion of Shanghai and survives in an internment camp.,6 Oscar noms; BAFTA Best Cinematography/Sound; Christian Bale debut; Spielberg's underrated gem from J.G. Ballard,Oscars; BAFTA
42,Ran,1985,Akira Kurosawa,Drama,An aging Japanese warlord divides his kingdom among his three sons unleashing a cataclysm of betrayal and war in this stunning adaptation of King Lear.,Won Oscar for Best Costume Design; 4 noms; BAFTA nominations; widely regarded as Kurosawa's late masterpiece,Oscars; BFI Sight & Sound; BAFTA
43,Crimes and Misdemeanors,1989,Woody Allen,Drama,A married ophthalmologist arranges the murder of his mistress and must live with the moral consequences while a documentary filmmaker falls for his producer in Allen's darkest and most morally devastating film.,3 Oscar noms incl. Best Director and Original Screenplay; National Film Registry; AFI Top 100 nomination; widely regarded as Allen's greatest achievement and one of the finest American films of the decade,Oscars; National Film Registry; AFI
44,Kiss of the Spider Woman,1985,Hector Babenco,Drama,In a South American prison cell a flamboyant gay man and a political revolutionary form an unlikely bond through shared stories and survival.,Won Oscar for Best Actor (William Hurt); Cannes Best Actor; 4 Oscar noms,Oscars; Cannes Film Festival
45,Mona Lisa,1986,Neil Jordan,Crime,An ex-convict takes a job as chauffeur for a high-class call girl and becomes entangled in London's seedy criminal underworld.,Won Best Actor at Cannes (Bob Hoskins); Oscar nom; BAFTA nom; Golden Globe nom,Cannes Film Festival; Oscars
46,Peggy Sue Got Married,1986,Francis Ford Coppola,Comedy,A woman on the verge of divorce faints at her high school reunion and wakes up in 1960 with the chance to relive her youth knowing what she knows now.,Oscar nom for Best Actress (Kathleen Turner); 3 noms; Golden Globe nom; Coppola time-travel charm,Oscars
47,Victor Victoria,1982,Blake Edwards,Musical,A starving soprano in 1930s Paris pretends to be a man pretending to be a woman in a nightclub act creating delirious gender confusion.,Won Oscar for Best Original Score; 7 noms; Golden Globe Best Actress (Julie Andrews); gender comedy ahead of its time,Oscars; Golden Globes
48,A Passage to India,1984,David Lean,Drama,Cultural and racial tensions explode when a young Englishwoman accuses an Indian doctor of assault during a visit to the mysterious Marabar Caves.,Won 2 Oscars; 11 noms; David Lean's final film; BAFTA Best Actress,Oscars; BAFTA
49,Mephisto,1981,Istvan Szabo,Drama,A German actor sells his soul to the Nazis trading artistic integrity for fame and power in this chilling allegory of moral compromise.,Won Oscar for Best Foreign Language Film; Cannes Best Screenplay; BAFTA nom,Oscars; Cannes Film Festival
50,Children of a Lesser God,1986,Randa Haines,Romance,A dedicated teacher at a school for the deaf falls in love with a brilliant but bitter former student who refuses to learn lip reading or speak.,Won Oscar for Best Actress (Marlee Matlin youngest ever); 5 noms; Golden Globe; $31M domestic,Oscars; Golden Globes
51,Prizzi's Honor,1985,John Huston,Crime,A Mafia hitman falls in love with a woman who turns out to be a professional killer herself creating an impossible conflict of interests.,Won Oscar for Best Supporting Actress (Anjelica Huston); 8 noms; Jack Nicholson/Kathleen Turner; John Huston late triumph,Oscars
52,The Purple Rose of Cairo,1985,Woody Allen,Fantasy,During the Depression a waitress's favorite movie character literally walks off the screen and into her life creating chaos between reality and fiction.,BAFTA Best Film nom; Golden Globe nom; widely considered one of Allen's finest and most inventive works,BAFTA; Golden Globes
53,Tootsie,1982,Sydney Pollack,Comedy,A difficult unemployable actor disguises himself as a woman to land a role on a TV soap opera and becomes a better man for the experience.,Won Oscar for Best Supporting Actress (Jessica Lange); 10 noms; AFI Top 100; $177M domestic,AFI; Oscars
54,A Fish Called Wanda,1988,Charles Crichton,Comedy,A scheming American jewel thief seduces a bumbling British barrister to get the location of stolen diamonds while her jealous boyfriend wreaks havoc.,Won Oscar for Best Supporting Actor (Kevin Kline); 3 noms; BAFTA Best Direction/Actor; $63M domestic,Oscars; BAFTA
55,Broadcast News,1987,James L. Brooks,Comedy,A brilliant TV news producer is torn between a handsome but vacuous anchorman and an insightful but abrasive reporter as network news evolves.,7 Oscar noms incl. Best Picture; National Film Registry; NY Film Critics Best Film,Oscars; National Film Registry; NY Film Critics
56,Cry Freedom,1987,Richard Attenborough,Drama,The friendship between South African journalist Donald Woods and Black activist Steve Biko and Biko's death in police custody spark international outrage.,3 Oscar noms; BAFTA noms; powerful anti-apartheid drama; Denzel Washington as Biko,Oscars; BAFTA
57,Indiana Jones and the Last Crusade,1989,Steven Spielberg,Adventure,Indiana Jones races the Nazis to find the Holy Grail while reconciling with his estranged father in this thrilling globe-trotting adventure.,Won Oscar for Best Sound Effects Editing; 3 noms; $197M domestic; Golden Globe nom,Oscars
58,Jean de Florette,1986,Claude Berri,Drama,A scheming Provencal farmer and his nephew block the water supply to a neighboring property to ruin its idealistic new city-born owner.,Cesar Award Best Actor (Daniel Auteuil for sequel); BAFTA Best Film nomination; massive international success,Cesar Awards; BAFTA
59,Mississippi Burning,1988,Alan Parker,Drama,Two FBI agents investigate the disappearance of three civil rights workers in Mississippi in 1964 and confront entrenched racist violence.,Won Oscar for Best Cinematography; 7 noms; Gene Hackman/Willem Dafoe; $34M domestic; controversial but powerful,Oscars
60,E.T. the Extra-Terrestrial,1982,Steven Spielberg,Sci-Fi,A lonely boy befriends a stranded alien and helps him find his way home in this emotionally overwhelming tale of childhood innocence and wonder.,Won 4 Oscars; highest-grossing film of the 1980s ($435M domestic); 9 noms; AFI Top 100,AFI; Oscars; Box Office Mojo
61,Raging Bull,1980,Martin Scorsese,Drama,An emotionally devastating portrait of middleweight boxer Jake LaMotta whose self-destructive jealousy and rage destroy his relationships and career.,"Won 2 Oscars (Best Actor Robert De Niro, Editing); 8 noms; AFI Top 100; BFI Sight & Sound poll; widely considered best film of the 1980s",AFI; BFI Sight & Sound; Oscars
62,Raiders of the Lost Ark,1981,Steven Spielberg,Adventure,Archaeologist Indiana Jones races Nazis to find the Ark of the Covenant in a breathless globe-trotting adventure that redefined the action genre.,Won 5 Oscars; 9 noms; $248M domestic; AFI Top 100; National Film Registry,AFI; National Film Registry; Oscars
63,The Natural,1984,Barry Levinson,Drama,A middle-aged baseball phenomenon gets a second chance at the major leagues decades after a mysterious shooting ended his promising career.,4 Oscar noms; Golden Globe nom; Robert Redford iconic performance; Randy Newman score,Oscars
64,A Room with a View,1985,James Ivory,Romance,A young Edwardian woman is torn between convention and passion after a transformative encounter in Florence challenges her repressed sensibilities.,"Won 3 Oscars (Adapted Screenplay, Art Direction, Costume Design); 8 noms; Merchant Ivory landmark",Oscars
65,The Dead,1987,John Huston,Drama,During a Dublin dinner party on the Feast of the Epiphany a man's understanding of his wife and their marriage is profoundly altered by a song and a memory.,2 Oscar noms; John Huston's final film; BAFTA nom; considered one of the greatest literary adaptations ever made,Oscars; BAFTA
66,After Hours,1985,Martin Scorsese,Comedy,A mild-mannered word processor's late-night trip to SoHo spirals into a Kafkaesque nightmare of coincidence paranoia and escalating absurdity.,Won Best Director at Cannes (Independent Film); Independent Spirit Award; Scorsese's underrated gem,Cannes Film Festival; Independent Spirit Awards
67,Bagdad Cafe,1987,Percy Adlon,Comedy,A stranded German tourist transforms a desolate Mojave Desert truck stop and its eccentric inhabitants through her quiet determined presence.,Oscar nom for Best Original Song (Calling You); Independent Spirit nom; international cult hit; Percy Adlon's breakthrough,Oscars; Independent Spirit Awards
68,Fanny and Alexander,1982,Ingmar Bergman,Drama,Two siblings experience the joys and terrors of childhood in early twentieth-century Sweden in Bergman's magisterial autobiographical epic.,Won 4 Oscars incl. Best Foreign Language Film/Cinematography; 6 noms; BFI Sight & Sound poll,BFI Sight & Sound; Oscars
69,Gorillas in the Mist,1988,Michael Apted,Drama,The true story of primatologist Dian Fossey who devoted her life to studying and protecting mountain gorillas in Rwanda at a fatal cost.,5 Oscar noms incl. Best Actress (Sigourney Weaver); based on Fossey's autobiography,Oscars
70,On Golden Pond,1981,Mark Rydell,Drama,An aging couple spend their 48th summer at their lakeside cottage where the arrival of their estranged daughter forces a long-overdue reconciliation.,Won 3 Oscars (Best Actor Henry Fonda Best Actress Katharine Hepburn Adapted Screenplay); 10 noms; $119M domestic,Oscars
71,Reds,1981,Warren Beatty,Drama,The epic true story of American journalist John Reed who witnessed and chronicled the Russian Revolution while pursuing a tumultuous love affair.,Won 3 Oscars incl. Best Director; 12 noms; last American epic of its kind for decades,Oscars
72,Silkwood,1983,Mike Nichols,Drama,A nuclear plant worker becomes an activist after discovering corporate safety violations and faces intimidation and danger for speaking out.,5 Oscar noms incl. Best Actress (Meryl Streep); based on the true story of Karen Silkwood,Oscars
73,Sophie's Choice,1982,Alan J. Pakula,Drama,A young writer befriends a Polish Holocaust survivor and her volatile lover in 1947 Brooklyn and gradually discovers her devastating secret.,Won Oscar for Best Actress (Meryl Streep); 5 noms; AFI nominated; National Film Registry,Oscars; National Film Registry
74,The Right Stuff,1983,Philip Kaufman,Drama,The story of the original Mercury Seven astronauts and their rivalries ambitions and courage in the early days of the American space program.,Won 4 Oscars; 8 noms; National Film Registry; AFI Top 100 nominated,Oscars; National Film Registry
75,Aliens,1986,James Cameron,Sci-Fi,Ellen Ripley returns to the planet where her crew encountered the hostile alien this time with a unit of Colonial Marines for a terrifying rematch.,"Won 2 Oscars (Visual Effects, Sound Effects Editing); 7 noms; $85M domestic; widely considered one of the greatest sequels ever made",Oscars; AFI
76,Big,1988,Penny Marshall,Comedy,A twelve-year-old boy magically grows into a thirty-year-old man overnight and navigates the adult world with childlike wonder and honesty.,2 Oscar noms incl. Best Actor (Tom Hanks); $115M domestic; Golden Globe nom; first film directed by a woman to gross over $100M,Oscars; Box Office Mojo
77,Footloose,1984,Herbert Ross,Musical,A Chicago teenager moves to a small town where dancing has been banned and leads a spirited campaign to overturn the prohibition.,2 Oscar noms (Original Song); $80M domestic; iconic 1980s soundtrack and dance sequences,Oscars; Box Office Mojo
78,Hannah and Her Sisters,1986,Woody Allen,Comedy,The romantic entanglements and existential crises of three sisters and the men in their lives play out across two years of Thanksgiving gatherings.,"Won 3 Oscars (Supporting Actor/Actress, Original Screenplay); 7 noms; National Film Registry",Oscars; National Film Registry
79,My Life as a Dog,1985,Lasse Hallstrom,Drama,A twelve-year-old Swedish boy is sent to live with relatives in a small town after his mother falls ill and navigates childhood with bittersweet resilience.,2 Oscar noms; Golden Globe Best Foreign Language Film; launched Lasse Hallstrom's international career,Oscars; Golden Globes
80,Places in the Heart,1984,Robert Benton,Drama,A young widow in Depression-era Texas fights to keep her farm with the help of a blind boarder and a Black field hand against poverty and prejudice.,"Won 2 Oscars (Best Actress Sally Field, Original Screenplay); 7 noms; stunning final communion scene",Oscars
81,Who Framed Roger Rabbit,1988,Robert Zemeckis,Comedy,A 1940s private detective investigates a murder in a world where cartoon characters coexist with real people in this groundbreaking hybrid film.,"Won 4 Oscars (Visual Effects, Film Editing, Sound Effects Editing, Special Achievement); 6 noms; $156M domestic",Oscars; Box Office Mojo
82,Blood Simple,1984,Joel Coen,Thriller,A Texas bar owner hires a sleazy private detective to murder his unfaithful wife and her lover but the plan goes catastrophically wrong.,Grand Jury Prize Sundance (predecessor Independent Spirit Award); launched the Coen Brothers' career,Sundance Film Festival; National Film Registry
83,Dead Poets Society,1989,Peter Weir,Drama,An unconventional English teacher at an elite prep school inspires his students to seize the day and think independently with life-changing consequences.,Won Oscar for Best Original Screenplay; 4 noms; $95M domestic; Robin Williams iconic performance,Oscars
84,Die Hard,1988,John McTiernan,Action,An off-duty New York cop takes on a group of terrorists who have seized a Los Angeles skyscraper during a Christmas party.,4 Oscar noms; $83M domestic; AFI Top 100 Thrills; redefined the action genre; National Film Registry,AFI; Oscars; National Film Registry
85,Mask,1985,Peter Bogdanovich,Drama,A teenager with a severe cranial deformity lives a full and inspirational life supported by his fiercely devoted mother against all prejudice.,Won Best Actress at Cannes (Cher); Oscar for Best Makeup; deeply moving; Eric Stoltz remarkable performance,Cannes Film Festival; Oscars
86,She's Gotta Have It,1986,Spike Lee,Comedy,An independent Brooklyn artist juggles three very different lovers while refusing to be defined by any single relationship.,Prix de la Jeunesse at Cannes; Independent Spirit Award; launched Spike Lee's career on $175K budget,Cannes Film Festival; Independent Spirit Awards
87,Tender Mercies,1983,Bruce Beresford,Drama,A broken-down country singer rebuilds his life with a young widow and her son on a rural Texas gas station and motel.,"Won 2 Oscars (Best Actor Robert Duvall, Original Screenplay); 5 noms; quiet masterpiece",Oscars
88,The Untouchables,1987,Brian De Palma,Crime,Treasury agent Eliot Ness assembles a team of incorruptible lawmen to bring down Al Capone during Prohibition-era Chicago.,Won Oscar for Best Supporting Actor (Sean Connery); 4 noms; Ennio Morricone score; $76M domestic,Oscars
89,Wings of Desire,1987,Wim Wenders,Fantasy,An angel watching over Cold War Berlin falls in love with a mortal trapeze artist and contemplates surrendering his immortality for human experience.,Won Best Director at Cannes; European Film Award; BFI Sight & Sound poll,Cannes Film Festival; BFI Sight & Sound
90,An Officer and a Gentleman,1982,Taylor Hackford,Romance,A directionless young man enrolls in Naval Officer Candidate School and is transformed by a tough drill instructor and an unexpected love.,"Won 2 Oscars (Supporting Actor Louis Gossett Jr, Original Song); 6 noms; $130M domestic",Oscars
91,Moonstruck,1987,Norman Jewison,Romance,An Italian-American widow in Brooklyn falls for her fiance's estranged brother throwing her family into romantic turmoil.,"Won 3 Oscars (Best Actress Cher, Supporting Actress Olympia Dukakis, Original Screenplay); 6 noms; $80M domestic",Oscars
92,Women on the Verge of a Nervous Breakdown,1988,Pedro Almodovar,Comedy,A TV actress trying to contact her unfaithful lover encounters a series of increasingly frantic characters in this colorful Madrid-set farce.,Oscar nom for Best Foreign Language Film; European Film Award; launched Almodovar internationally; National Society of Film Critics,Oscars; European Film Awards
93,Crimes of the Heart,1986,Bruce Beresford,Comedy,Three eccentric Mississippi sisters reunite when the youngest shoots her husband and old resentments and family secrets bubble to the surface.,3 Oscar noms; based on Beth Henley's Pulitzer-winning play; Jessica Lange/Diane Keaton/Sissy Spacek,Oscars
94,Field of Dreams,1989,Phil Alden Robinson,Fantasy,An Iowa farmer hears a mysterious voice telling him to build a baseball diamond in his cornfield and ghosts of legendary players appear to play.,3 Oscar noms incl. Best Picture; $64M domestic; National Film Registry; If you build it became iconic,Oscars; National Film Registry
95,Poltergeist,1982,Tobe Hooper,Horror,A suburban family's home is invaded by malevolent ghosts who abduct their youngest daughter through the television set.,3 Oscar noms; $76M domestic; one of the highest-grossing horror films of the decade; Spielberg-produced,Oscars; Box Office Mojo
96,Salvador,1986,Oliver Stone,Drama,A sleazy American journalist heads to war-torn El Salvador in 1980 and witnesses atrocities that transform him from cynic to committed witness.,"2 Oscar noms (Actor, Screenplay); James Woods career-best performance; Oliver Stone's breakthrough alongside Platoon",Oscars
97,The Big Chill,1983,Lawrence Kasdan,Drama,Seven former college friends reunite for a weekend after the suicide of their idealistic friend and confront how far they've drifted from their 1960s values.,3 Oscar noms incl. Best Picture; $56M domestic; iconic baby boomer soundtrack; defined a generation's nostalgia,Oscars
98,The Unbearable Lightness of Being,1988,Philip Kaufman,Drama,A hedonistic Czech surgeon in 1968 Prague is torn between his devoted wife and a fiercely independent photographer as the Soviet invasion threatens to crush their world in this adaptation of Milan Kundera's landmark novel.,2 Oscar noms incl. Best Adapted Screenplay and Best Cinematography; Daniel Day-Lewis and Juliette Binoche career-defining performances; NY Film Critics Best Film,Oscars; NY Film Critics
99,WarGames,1983,John Badham,Thriller,A teenage computer hacker nearly starts World War III when he accidentally connects to a military supercomputer and plays what he thinks is a game.,3 Oscar noms; $79M domestic; prescient cyber-thriller; National Film Registry; coined Shall we play a game,National Film Registry; Oscars
100,Beverly Hills Cop,1984,Martin Brest,Action,A streetwise Detroit detective follows the trail of his best friend's murder to the posh world of Beverly Hills and wreaks havoc on local police.,Oscar nom; $234M domestic; highest-grossing film of 1984; Golden Globe nom; launched Eddie Murphy as a superstar,Oscars; Box Office Mojo
101,Glory,1989,Edward Zwick,War,The true story of the 54th Massachusetts Volunteer Infantry one of the first African American regiments in the Civil War and their fight for dignity.,Won 3 Oscars incl. Best Supporting Actor (Denzel Washington); 5 noms; $26M domestic,Oscars
102,My Left Foot,1989,Jim Sheridan,Drama,The true story of Christy Brown an Irishman born with cerebral palsy who becomes an accomplished writer and painter using only his left foot.,"Won 2 Oscars (Best Actor Daniel Day-Lewis, Supporting Actress Brenda Fricker); 5 noms",Oscars
103,Stand and Deliver,1988,Ramon Menendez,Drama,A dedicated high school teacher in East Los Angeles inspires his underprivileged students to pass the AP Calculus exam against all expectations.,Independent Spirit Award; Edward James Olmos Oscar-nominated; National Film Registry; based on the true story of Jaime Escalante,National Film Registry; Oscars; Independent Spirit Awards
104,Stand by Me,1986,Rob Reiner,Drama,Four boys set out on a life-changing hike through the Oregon woods to find a dead body in this poignant coming-of-age tale based on Stephen King.,Oscar nom for Best Adapted Screenplay; National Film Registry; Golden Globe noms; $52M domestic,National Film Registry; Oscars
105,Betty Blue,1986,Jean-Jacques Beineix,Romance,A handyman and aspiring writer begins a passionate affair with a volatile and increasingly unstable young woman whose intensity consumes them both.,Oscar nom for Best Foreign Language Film; Cesar nominations; one of the defining French films of the 1980s,Oscars; Cesar Awards
