Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources
12,At Five in the Afternoon,2003,Samira Makhmalbaf,Drama,A young Afghan woman secretly pursues education and dreams of becoming president while her conservative father resists change in post-Taliban Kabul in this poetic portrait of female aspiration.,Cannes Jury Prize; MC 70 RT 65%; youngest female Cannes winner; Makhmalbaf family legacy; Afghan womens cinema landmark,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
13,American Splendor,2003,Shari Springer Berman and Robert Pulcini,Comedy/Drama,Harvey Pekars life as a curmudgeonly Cleveland file clerk and underground comic book author is told through an innovative blend of live-action animation and documentary featuring the real Pekar alongside Paul Giamatti.,Sundance Grand Jury Prize; Spirit noms; MC 82 RT 94%; Giamatti breakthrough; landmark hybrid documentary-narrative form,"Sundance Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
14,Whale Rider,2003,Niki Caro,Drama,A Maori girl defies patriarchal tradition to claim her birthright as leader of her tribe riding a whale to prove her spiritual connection in this stirring New Zealand coming-of-age story.,Oscar nom Best Actress (Castle-Hughes youngest ever at 13); Toronto Audience Award; Spirit Award; MC 79 RT 93%; $41M worldwide; NZ cinema landmark,"Academy Awards, TIFF, Independent Spirit Awards, Metacritic"
15,Mystic River,2003,Clint Eastwood,Drama/Crime,Three childhood friends reunited by tragedy in working-class Boston confront how a long-buried abduction shaped their lives as a murder investigation tears open old wounds and dark secrets.,2 Oscars (Best Actor Penn; Best Supporting Actor Robbins); Cannes Best Actor; 6 Oscar noms; $156M worldwide on $25M; MC 84 RT 87%,"Academy Awards, Cannes Film Festival, Metacritic, Box Office Mojo"
16,The Station Agent,2003,Tom McCarthy,Drama/Comedy,A dwarf who loves trains retreats to an abandoned New Jersey depot seeking solitude but finds unexpected friendship with a talkative food-truck vendor and a grieving woman in McCarthys tender debut.,Sundance Audience Award; MC 82 RT 95%; Spirit noms; Peter Dinklage breakthrough; $9M on $500K; Tom McCarthys career-launching debut,"Sundance Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
17,The Triplets of Belleville,2003,Sylvain Chomet,Animation/Comedy,An elderly woman and her dog pursue kidnappers across the Atlantic to rescue her cycling grandson enlisting three ancient jazz singers in Chomets wondrously eccentric hand-drawn masterpiece of visual storytelling.,2 Oscar noms (Animated Feature + Song); MC 86 RT 94%; Criterion Collection; French animation landmark; virtually dialogue-free brilliance,"Academy Awards, Criterion Collection, Metacritic, Rotten Tomatoes"
18,In America,2003,Jim Sheridan,Drama,An Irish immigrant family rebuilds their lives in a dilapidated New York tenement while processing the death of their young son finding unexpected connection with a reclusive neighbor.,3 Oscar noms (Screenplay + 2 Supporting); MC 76 RT 89%; Sheridans semi-autobiographical warmth; emotionally authentic immigration story; Spirit noms,"Academy Awards, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
19,Osama,2003,Siddiq Barmak,Drama,A young Afghan girl disguises herself as a boy to work and support her family under Taliban rule in the first film made in Afghanistan after the fall of the Taliban regime.,Golden Globe Best Foreign Film; Cannes special screening; MC 77 RT 84%; first Afghan film of post-Taliban era; humanist landmark; Spirit nom,"Golden Globes, Cannes Film Festival, Independent Spirit Awards, Metacritic"
20,A Mighty Wind,2003,Christopher Guest,Comedy/Music,Three folk music groups from the 1960s reunite for a memorial concert in Christopher Guests affectionate mockumentary about nostalgia authenticity and the bittersweet comedy of aging performers.,Oscar nom Best Song; MC 78 RT 93%; Spirit nom; Guest mockumentary trilogy conclusion; ensemble perfection; Eugene Levy co-wrote and starred,"Academy Awards, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
21,Finding Nemo,2003,Andrew Stanton,Animation/Adventure,An overprotective clownfish crosses the ocean to rescue his captured son encountering sharks sea turtles and a forgetful blue tang in Pixars most emotionally resonant underwater odyssey.,Oscar Best Animated Feature; $940M worldwide (animated record at time); MC 90 RT 99%; Pixars commercial and artistic peak of its era,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
22,Seabiscuit,2003,Gary Ross,Drama/Sports,An undersized racehorse and his unlikely trio of owner trainer and jockey become Depression-era symbols of hope in this inspirational true story of Americas most famous thoroughbred.,7 Oscar noms incl Best Picture; $148M worldwide; MC 72 RT 77%; old-fashioned inspirational drama executed with craft; Maguire Bridges Cooper lead,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
23,Raising Victor Vargas,2003,Peter Sollett,Drama/Romance,A Dominican teenager in the Lower East Side navigates first love family expectations and street reputation in Solletts naturalistic charming portrait of Latino adolescence in New York.,Cannes Directors Fortnight; MC 78 RT 93%; Spirit noms; genuine teen performances; cultural specificity celebrated; Solletts promising debut,"Cannes Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
24,Dirty Pretty Things,2003,Stephen Frears,Thriller/Drama,An illegal Nigerian immigrant working as a London hotel porter discovers an organ-trafficking ring preying on undocumented workers in Frears sharp thriller about exploitation hidden beneath civilized surfaces.,Oscar nom Original Screenplay; BAFTA noms; MC 76 RT 90%; Chiwetel Ejiofor breakthrough; Audrey Tautou post-Amelie English debut,"Academy Awards, BAFTA, Metacritic, Rotten Tomatoes"
25,The Fog of War,2003,Errol Morris,Documentary,Robert McNamara reflects on his role in the firebombing of Tokyo the Cuban Missile Crisis and Vietnam in Errol Morris devastating eleven-lesson examination of war power and moral reckoning.,Oscar Best Documentary; MC 87 RT 96%; Morris masterwork; essential political documentary; McNamaras confession became historical document,"Academy Awards, Metacritic, Rotten Tomatoes, Sight and Sound"
26,The Weather Underground,2003,Sam Green and Bill Siegel,Documentary,The radical 1960s-70s Weather Underground Organization is examined through archival footage and interviews with former members now reflecting on their campaign of bombings against the US government.,Oscar nom Best Documentary; MC 73 RT 88%; politically charged; relevant to ongoing debates about protest and radicalism; Spirit nom,"Academy Awards, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
27,Memories of Murder,2003,Bong Joon-ho,Crime/Drama,Two detectives in 1980s rural South Korea pursue a serial killer through incompetence corruption and mounting frustration in Bong Joon-hos masterful true-crime procedural that builds to a haunting ambiguous ending.,MC 82 RT 94%; Korean cinema landmark; Bong Joon-hos breakthrough; retroactive importance surged after Parasites Oscar sweep; Criterion Collection,"Criterion Collection, Metacritic, Rotten Tomatoes, Sight and Sound"
28,Monster,2003,Patty Jenkins,Drama/Crime,Charlize Theron vanishes into the role of serial killer Aileen Wuornos tracing her descent from desperate survival into murder in Patty Jenkins unflinching portrait of trauma exploitation and broken systems.,Oscar Best Actress (Therons transformative performance); $60M on $8M; MC 74 RT 81%; Spirit noms; Therons prosthetic transformation became legendary,"Academy Awards, Independent Spirit Awards, Metacritic, Box Office Mojo"
29,Pieces of April,2003,Peter Hedges,Comedy/Drama,A black-sheep daughter attempts to cook Thanksgiving dinner for her estranged family in her tiny New York apartment as her cancerous mother debates whether to attend.,Oscar nom Supporting Actress (Clarkson); Spirit nom; MC 71 RT 82%; Katie Holmes indie credibility; shot on consumer DV; $2.5M on $300K budget,"Academy Awards, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
30,The Barbarian Invasions,2003,Denys Arcand,Drama/Comedy,A dying professors estranged son reunites his bohemian friends for bittersweet final days in Montreal as Arcand examines mortality friendship and the death of idealism with philosophical wit and warmth.,Oscar Best Foreign Language Film; Cannes Best Actress + Screenplay; MC 80 RT 88%; Arcands sequel to Decline of the American Empire,"Academy Awards, Cannes Film Festival, Metacritic, Rotten Tomatoes"
31,21 Grams,2003,Alejandro Gonzalez Inarritu,Drama,Three strangers connected by a fatal car accident navigate grief guilt and desperation in Inarritus fragmented nonlinear narrative featuring raw performances from Penn Watts and del Toro.,Venice Best Actor (Penn); 2 Oscar noms (Watts del Toro); MC 72 RT 68%; Inarritus English-language debut; structurally ambitious prestige drama,"Venice Film Festival, Academy Awards, Metacritic, Rotten Tomatoes"
32,The Last Samurai,2003,Edward Zwick,Drama/Action,An alcoholic Civil War veteran hired to train Japanese soldiers against samurai rebels instead joins them finding honor and purpose in their dying way of life.,4 Oscar noms; Golden Globe noms; $456M worldwide (massive in Japan); MC 55 RT 66%; Ken Watanabe breakthrough; visually stunning if historically contested,"Academy Awards, Golden Globes, Metacritic, Box Office Mojo"
33,Something's Gotta Give,2003,Nancy Meyers,Romantic Comedy,An aging playboy has a heart attack at his young girlfriends mothers beach house and falls for the mother instead in Meyers sophisticated older-audience romantic comedy.,Oscar nom Actress (Keaton); Golden Globe noms; $267M worldwide; MC 63 RT 73%; proved older-skewing romcoms commercially viable; Nicholson/Keaton chemistry,"Academy Awards, Golden Globes, Metacritic, Box Office Mojo"
34,Blind Shaft,2003,Li Yang,Drama/Crime,Two coal miners murder coworkers in staged accidents to collect insurance money until a young victim complicates their scheme in this harrowing expose of corruption in Chinas mining industry.,Berlin Silver Bear; MC 80 RT 88%; banned in China; powerful social realism; Li Yangs fearless debut; Spirit nom,"Berlin Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
35,Big Fish,2003,Tim Burton,Fantasy/Drama,A dying fathers fantastical life stories are revisited by his skeptical son who must separate truth from myth to find the real man beneath the tall tales in Burtons most emotionally generous film.,Oscar nom Score; Golden Globe noms; $122M worldwide; MC 58 RT 76%; Burtons personal masterwork; Ewan McGregor leads; growing legacy,"Academy Awards, Golden Globes, Metacritic, Box Office Mojo"
36,The Cooler,2003,Wayne Kramer,Drama/Romance,A professional casino jinx whose bad luck rubs off on winning gamblers falls in love and his streak breaks threatening his bosss empire in this moody Las Vegas character study.,Oscar nom Supporting Actress (Bello); Spirit noms; MC 66 RT 68%; Baldwin scene-stealing; Macys wounded romantic lead; Kramers sharp debut,"Academy Awards, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
37,The Best of Youth,2003,Marco Tullio Giordana,Drama/Epic,Two brothers lives diverge across four decades of Italian history from 1966 to 2003 as political upheaval terrorism and personal choices test family bonds in this sweeping six-hour masterwork.,Cannes Un Certain Regard Prize; MC 89 RT 92%; widely considered one of the great Italian films of its generation; epic intimate family saga,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound"
38,All the Real Girls,2003,David Gordon Green,Drama/Romance,A small-town womanizer falls genuinely in love with his best friends sister and struggles to become worthy of her in David Gordon Greens tender lyrical portrait of rural romance and transformation.,Sundance Special Jury Prize; MC 72 RT 83%; Spirit nom; Greens artistic peak; Zooey Deschanel breakout; indie romance landmark,"Sundance Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
39,Winged Migration,2003,Jacques Perrin,Documentary/Nature,Migratory birds are filmed in breathtaking aerial intimacy across continents using ultralight aircraft and balloons in this visually staggering nature documentary that makes you feel the wonder of flight.,Oscar nom Best Documentary; MC 78 RT 92%; stunning cinematographic achievement; Perrins years-long production; nature filmmaking landmark,"Academy Awards, Metacritic, Rotten Tomatoes, IndieWire"
40,Better Luck Tomorrow,2003,Justin Lin,Crime/Drama,High-achieving Asian American suburban students slide into crime and moral corruption beneath their overachiever surfaces in Justin Lins Sundance breakthrough that challenged stereotypes.,Sundance selection; MC 72 RT 81%; Spirit nom; Lin launched career (later Fast and Furious franchise); Asian American cinema landmark,"Sundance Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
41,Shattered Glass,2003,Billy Ray,Drama,The true story of Stephen Glass a young journalist who fabricated dozens of articles for The New Republic and the editor who exposed him in this taut journalism-ethics thriller.,MC 77 RT 91%; Spirit nom; Sarsgaard acclaimed as editor Charles Lane; Christensen against type; Billy Rays sharp debut; journalism landmark,"Independent Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire"
42,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,Adventure/Fantasy,A roguish pirate and a blacksmith team up to rescue the governors daughter from cursed undead pirates in this swashbuckling adventure that turned a theme park ride into a global franchise.,Oscar nom Actor (Depp); $654M worldwide; MC 63 RT 79%; launched mega-franchise; Depps Jack Sparrow became iconic; BAFTA noms,"Academy Awards, BAFTA, Metacritic, Box Office Mojo"
43,My Architect,2003,Nathaniel Kahn,Documentary,The son of legendary architect Louis Kahn travels the world to understand his distant father who died bankrupt leading a triple life with three families in this personal architectural elegy.,Oscar nom Best Documentary; MC 77 RT 94%; moving father-son meditation; architecture as emotional metaphor; Kahns buildings speak for him,"Academy Awards, Metacritic, Rotten Tomatoes, IndieWire"
44,Thirteen,2003,Catherine Hardwicke,Drama,A straight-A student falls under the influence of a charismatic classmate plunging into drugs shoplifting and self-destructive behavior in Hardwickes visceral portrait of teenage crisis.,Sundance Director Award; 2 Spirit noms; MC 71 RT 75%; Evan Rachel Wood breakthrough; co-written by 15-year-old Nikki Reed; Hardwickes debut,"Sundance Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes"
45,Since Otar Left,2003,Julie Bertuccelli,Drama,Three generations of Georgian women maintain the fiction that their beloved son and brother is alive in Paris in this tender debut about family love delusion and post-Soviet displacement.,Cannes Critics Week Grand Prize; MC 78 RT 94%; Bertuccellis luminous debut; Georgian cinema gem; touching family portrait,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
46,To Be and to Have,2003,Nicolas Philibert,Documentary,A patient dedicated teacher guides a one-room schoolhouse of children aged 4 to 10 through lessons and life in rural France in this gentle profoundly moving observational documentary.,MC 88 RT 97%; enormous French hit; one of highest-grossing docs in French history; Philiberts tender masterwork of observational cinema,"Metacritic, Rotten Tomatoes, IndieWire, Sight and Sound"
47,Girl with a Pearl Earring,2003,Peter Webber,Drama/Romance,The imagined story of the young woman who inspired Vermeers masterpiece as a servant girl enters the painters household and becomes his secret muse amid jealousy and class tension.,Oscar noms Cinematography Art Direction Costume; MC 67 RT 73%; Johansson and Firth restrained chemistry; painterly visual beauty; Webbers debut,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo"
48,Spring Summer Fall Winter... and Spring,2003,Kim Ki-duk,Drama/Spiritual,A Buddhist monk grows from boy to man through seasons of desire sin and redemption on a floating monastery as Kim Ki-duks most meditative work unfolds as visual poetry of cyclical existence.,MC 85 RT 95%; Criterion Collection; Locarno prize; Korean art cinema pinnacle; one of the most acclaimed Asian films of the decade,"Criterion Collection, Metacritic, Rotten Tomatoes, Sight and Sound"
49,School of Rock,2003,Richard Linklater,Comedy/Music,A slacker guitarist poses as a substitute teacher and transforms his class of preppy kids into a rock band for a battle of the bands competition in Linklaters irresistible crowd-pleaser.,MC 82 RT 92%; $131M worldwide on $35M; Golden Globe nom; Jack Blacks defining role; Linklaters most commercially successful film,"Metacritic, Rotten Tomatoes, Box Office Mojo, Golden Globes"
50,Owning Mahowny,2003,Richard Kwietniowski,Drama/Crime,A meek Canadian bank manager embezzles $10 million to feed his gambling addiction in this restrained true-crime character study anchored by Philip Seymour Hoffmans compulsive contained performance.,MC 72 RT 80%; Spirit nom; Hoffmans masterclass in internal acting; based on true story of Brian Molony; underseen gem,"Independent Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire"
51,Good Bye Lenin!,2003,Wolfgang Becker,Comedy/Drama,A devoted son creates an elaborate fiction to protect his bedridden mother from learning that the Berlin Wall has fallen in this charming bittersweet comedy about German reunification and family love.,MC 68 RT 79%; $79M worldwide (massive German hit); European Film Award noms; Berlin audience prize; became Germanys most beloved reunification film,"Metacritic, Rotten Tomatoes, Box Office Mojo, European Film Awards"
52,The Mother,2003,Roger Michell,Drama,A recently widowed grandmother begins a passionate affair with her daughters boyfriend in this frank unflinching drama about desire and aging that refuses to sentimentalize female sexuality.,MC 73 RT 86%; BAFTA award; London Critics Circle; Reid powerful lead; Michells bravest work; Daniel Craig pre-Bond role,"BAFTA, Metacritic, Rotten Tomatoes, IndieWire"
53,Crimson Gold,2003,Jafar Panahi,Drama/Crime,A pizza delivery man in Tehran drifts toward a violent act as class resentment and social marginalization build in Panahis quietly devastating portrait of inequality in modern Iran.,Cannes Un Certain Regard Prize; MC 75 RT 82%; written by Kiarostami; Panahis political cinema; Iranian New Wave continuation,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound"
54,Zatoichi,2003,Takeshi Kitano,Action/Drama,The legendary blind masseur-swordsman wanders into a town controlled by rival gangs and dispenses stylish justice in Kitanos playful reinvention of the classic samurai franchise blending violence with vaudeville.,Venice Silver Lion; MC 76 RT 89%; Kitano reinvention of genre; Japanese cinema joy; rhythmic tap-dance finale became iconic,"Venice Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
55,Gozu,2003,Takashi Miike,Horror/Comedy,A yakuza underling searches for his missing boss in a surreal rural town encountering increasingly bizarre Lynchian horrors in Miikes wild genre-defying midnight movie masterpiece.,Cannes Directors Fortnight; MC 63 RT 67%; Miikes most Lynchian work; cult midnight movie; defies classification; bodily surrealism,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Letterboxd"
56,Bright Future,2003,Kiyoshi Kurosawa,Drama,Two young factory workers bond over a pet jellyfish as their aimless existence drifts toward violence in Kurosawas enigmatic meditation on alienated Japanese youth and toxic luminescence.,Cannes competition; MC 63 RT 61%; Kurosawas art-cinema period; hypnotic and elusive; jellyfish sequences became iconic in cinephile circles,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Letterboxd"
57,Swimming Pool,2003,Francois Ozon,Thriller/Mystery,A repressed British mystery writer retreats to her publishers French villa and becomes obsessed with his provocative young daughter blurring fiction and reality in Ozons seductive puzzle-box.,MC 67 RT 80%; $30M worldwide (strong for foreign-language); Rampling and Sagnier magnetic pairing; erotic thriller crossover; Cannes buzz,"Metacritic, Rotten Tomatoes, Box Office Mojo, Cannes Film Festival"
58,Time of the Wolf,2003,Michael Haneke,Drama/Thriller,A family arrives at their country retreat to find it occupied by strangers in a world where civilization has collapsed in Hanekes austere unsparing vision of post-apocalyptic survival and human desperation.,Cannes competition; MC 60 RT 59%; Hanekes most underrated work; Huppert leads; no explanation given for catastrophe; formally rigorous,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound"
59,Kitchen Stories,2003,Bent Hamer,Comedy/Drama,A Swedish researcher assigned to observe the kitchen habits of a Norwegian bachelor forms a forbidden friendship challenging the studys scientific objectivity in this deadpan Scandinavian charmer.,MC 76 RT 89%; Norwegian gem; Hamers droll observational comedy; gentle cross-cultural humor; festival favorite,"Metacritic, Rotten Tomatoes, IndieWire, TIFF"
60,Freaky Friday,2003,Mark Waters,Comedy/Family,A bickering mother and daughter magically swap bodies and must navigate each others lives gaining empathy and understanding in this charming Disney remake elevated by Curtis and Lohans chemistry.,MC 70 RT 95%; $160M worldwide on $26M; Curtis and Lohan excellent; best body-swap film; Disneys surprise summer hit; 6x return,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers"
61,Last Life in the Universe,2003,Pen-Ek Ratanaruang,Drama/Romance,A suicidal Japanese librarian in Bangkok and a Thai woman grieving her sisters death form a fragile connection in Ratanaruangs dreamy languid meditation on loneliness and cross-cultural solace.,MC 71 RT 76%; Venice selection; Thai cinema breakthrough internationally; Christopher Doyle cinematography; tender minimalist romance,"Venice Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
62,Goodbye Dragon Inn,2003,Tsai Ming-liang,Drama,The last screening at a crumbling Taipei movie palace becomes an elegy for cinema as staff and sparse audience drift through cavernous spaces in Tsais achingly beautiful slow-cinema meditation.,MC 70 RT 71%; Venice premiere; Tsai Ming-liangs love letter to moviegoing; virtually dialogue-free; slow cinema touchstone,"Venice Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound"
63,Casa de los Babys,2003,John Sayles,Drama,Six American women wait in a South American country to adopt babies each carrying different motivations and backstories in Sayles ensemble exploration of international adoption and privilege.,MC 62 RT 52%; Spirit nom; Sayles ensemble approach; Spacek Lynch Harden lead; modest release; thoughtful treatment of complex subject,"Independent Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire"
64,Coffee and Cigarettes,2003,Jim Jarmusch,Comedy/Anthology,Eleven short conversations between unlikely pairings unfold over coffee and cigarettes in diners and cafes as Jarmusch assembles decades of vignettes featuring musicians actors and icons.,Cannes 2003; MC 62 RT 64%; Jarmusch signature deadpan; White Stripes Tesla-coil segment iconic; cult anthology favorite,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Letterboxd"
65,Tokyo Godfathers,2003,Satoshi Kon,Animation/Drama,Three homeless people in Tokyo find an abandoned baby on Christmas Eve and embark on an eventful odyssey to return the infant to its parents in Kons warm humanist animated miracle.,MC 73 RT 92%; Kons most accessible and emotionally generous work; growing posthumous reputation; Christmas classic in cinephile circles,"Metacritic, Rotten Tomatoes, Letterboxd, IndieWire"
66,Dogville,2003,Lars von Trier,Drama,A fugitive woman is sheltered by a small Rocky Mountain town whose charity gradually curdles into exploitation and cruelty performed on a bare stage with chalk outlines in von Triers radical theatrical experiment.,Cannes competition; MC 62 RT 61%; Criterion Collection; polarizing masterwork; Nicole Kidman leads; von Triers most formally audacious provocation,"Cannes Film Festival, Criterion Collection, Metacritic, Letterboxd"
67,The Saddest Music in the World,2003,Guy Maddin,Comedy/Fantasy,A Depression-era beer baroness sponsors a contest to find the worlds saddest music attracting performers from around the globe in Maddins deliriously inventive faux-silent-film fantasia.,MC 70 RT 77%; TIFF premiere; Maddin cult masterwork; Isabella Rossellini with glass legs filled with beer; formally unique,"TIFF, Metacritic, Rotten Tomatoes, Letterboxd"
68,Laurel Canyon,2003,Lisa Cholodenko,Drama,A buttoned-up Harvard grad and his fiancee move in with his free-spirited record-producer mother and are drawn into her bohemian world of music sex and liberation.,MC 67 RT 71%; McDormand magnetic lead; Cholodenkos sharp character study; Bale Beckinsale support; indie ensemble praised,"Metacritic, Rotten Tomatoes, IndieWire, Letterboxd"
69,Kill Bill: Vol. 1,2003,Quentin Tarantino,Action/Martial Arts,A former assassin wakes from a coma and embarks on a blood-soaked quest for vengeance against her former colleagues and their leader in Tarantinos love letter to Shaw Brothers kung fu and samurai cinema.,MC 69 RT 85%; $180M worldwide on $30M; Tarantinos stylistic peak; enormous pop culture impact; anime sequence; influenced action cinema globally,"Metacritic, Rotten Tomatoes, Box Office Mojo, Letterboxd"
70,The Dreamers,2003,Bernardo Bertolucci,Drama/Romance,Three young cinephiles hole up in a Paris apartment during the 1968 student revolution exploring love cinema and political awakening in Bertoluccis sensuous ode to youth and radical passion.,Venice premiere; MC 58 RT 60%; Bertoluccis late-career provocation; NC-17 release; Eva Green stunning debut; cinephile catnip; growing cult status,"Venice Film Festival, Metacritic, Rotten Tomatoes, Letterboxd"
71,Demonlover,2003,Olivier Assayas,Thriller/Sci-Fi,Corporate espionage over anime pornography distribution devolves into violence and digital identity crisis in Assayas prescient and disorienting portrait of globalized media and internet exploitation.,Cannes competition; MC 55 RT 53%; growing cult reputation; Assayas most provocative work; ahead of its time regarding online exploitation discourse,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Letterboxd"
72,Intolerable Cruelty,2003,Joel and Ethan Coen,Romantic Comedy,A slick divorce attorney meets his match in a serial gold digger and the two engage in an escalating battle of wits and seduction in the Coens glossiest most conventional comedy.,MC 68 RT 75%; $119M worldwide; Clooney and Zeta-Jones; Coens most mainstream-feeling work; underrated screwball energy,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers"
73,Camp,2003,Todd Graff,Musical/Comedy,Teenagers at a performing arts summer camp navigate romance rivalry and self-discovery through musical performances in this Sundance charmer that became a teen musical touchstone.,Sundance selection; MC 63 RT 63%; Anna Kendricks debut; raw unpolished energy; precursor to Glee and theater kid culture,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire"
