Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources
16,Gas Food Lodging,1992,Allison Anders,Drama,A single mother and her two daughters navigate desire loneliness and self-discovery in a desolate New Mexico desert town.,5 Spirit noms; Berlin competition; Allison Anders breakthrough; feminist indie landmark,"Spirit Awards, Berlin, Sundance, Letterboxd"
17,Alien³,1992,David Fincher,Sci-Fi/Horror,Ripley crash-lands on a prison planet where a new Xenomorph nightmare begins in Fincher's bleak directorial debut.,Oscar nom: Visual Effects; BAFTA noms; $159M worldwide; controversial but reassessed franchise entry,"Oscars, BAFTA, Box Office Mojo"
18,Twin Peaks: Fire Walk with Me,1992,David Lynch,Mystery/Horror,FBI agent Chet Desmond investigates the final tormented days of Laura Palmer in Lynch's disturbing visionary prequel.,Spirit noms; Cannes competition; Lynch's darkest most controversial work; cult reassessment,"Cannes, Spirit Awards, Criterion Collection, Letterboxd"
19,Enchanted April,1992,Mike Newell,Period Romance,Four English women escape their dreary lives to an Italian castle where sunshine and romance transform them all.,Oscar nom: Supporting Actress; Golden Globe wins: Actress and Supporting Actress,"Oscars, Golden Globes, Metacritic, Roger Ebert"
20,Passion Fish,1992,John Sayles,Drama,A paralyzed soap opera actress and her strong-willed nurse forge an unexpected friendship of resilience humor and healing.,Oscar nom: Best Actress (McDonnell); Spirit Award: Best Supporting Female (Woodard); Sayles indie mastery,"Oscars, Spirit Awards, Roger Ebert, Metacritic"
21,Basic Instinct,1992,Paul Verhoeven,Thriller/Crime,A detective becomes dangerously entangled with a brilliant seductive novelist suspected of ice-pick murder.,2 Oscar noms; Golden Globe noms; $352M worldwide; cultural flashpoint,"Oscars, Golden Globes, Box Office Mojo, CinemaScore (B+)"
22,Lorenzo's Oil,1992,George Miller,Medical Drama,Two parents fight the medical establishment to develop a treatment for their son's fatal degenerative disease.,2 Oscar noms; Golden Globe noms; Susan Sarandon and Nick Nolte acclaimed,"Oscars, Golden Globes, Metacritic"
23,Bad Lieutenant,1992,Abel Ferrara,Crime/Drama,A corrupt New York cop spirals into addiction violence and moral dissolution before a desperate encounter with redemption.,3 Spirit noms; Cannes Un Certain Regard; Harvey Keitel's career-defining role; Criterion Collection,"Spirit Awards, Cannes, Criterion Collection, Letterboxd, Metacritic"
24,Batman Returns,1992,Tim Burton,Superhero/Fantasy,Batman confronts the Penguin and Catwoman in Tim Burton's darker more Gothic and psychologically twisted sequel.,Oscar nom; BAFTA noms; Pfeiffer's iconic Catwoman; $266M worldwide,"Oscars, BAFTA, Box Office Mojo, CinemaScore (A-)"
25,Daens,1992,Stijn Coninx,Historical Drama,A radical Belgian priest champions workers' rights during the brutal 19th-century industrial revolution.,Oscar nom: Foreign Language Film; Cannes selection; Belgian prestige,"Oscars, Cannes"
26,Husbands and Wives,1992,Woody Allen,Comedy/Drama,Two married couples' relationships unravel when desires and infidelities surface in Allen's angular handheld drama.,Oscar nom: Original Screenplay; BAFTA: Best Screenplay; Judy Davis acclaimed,"Oscars, BAFTA, Metacritic, Roger Ebert"
27,Reservoir Dogs,1992,Quentin Tarantino,Crime/Thriller,Professional criminals turn on each other in a non-linear chamber piece of paranoia and violence after a heist goes catastrophically wrong.,Sundance sensation; 3 Spirit noms; Tarantino's paradigm-shifting debut; Criterion Collection,"Sundance, Spirit Awards, Criterion Collection, Letterboxd, Sight & Sound"
28,The Last of the Mohicans,1992,Michael Mann,Historical Epic/Action,A Mohican frontiersman protects a colonel's daughters during the French and Indian War in Mann's visceral romantic epic.,BAFTA: Best Cinematography plus 4 wins; Oscar nom; $75M domestic,"BAFTA, Oscars, Box Office Mojo, Metacritic"
29,In the Soup,1992,Alexandre Rockwell,Comedy,A broke aspiring screenwriter's life changes when a charismatic con man offers to finance his film.,Venice competition; Seymour Cassel and Steve Buscemi; indie comedy gem,"Venice, Spirit Awards, Letterboxd"
30,Swoon,1992,Tom Kalin,Drama/Crime,A stylish avant-garde reimagining of the Leopold-Loeb murder case exploring desire obsession and queer identity.,4 Spirit noms; New Queer Cinema landmark; Sundance selection,"Spirit Awards, Sundance, Letterboxd"
31,Strictly Ballroom,1992,Baz Luhrmann,Romance/Comedy,An unconventional dancer defies the rigid rules of competitive ballroom to dance his own way with a passionate partner.,3 BAFTA wins incl. Best Film; Cannes Youth Award; Luhrmann's exuberant debut; Criterion Collection,"BAFTA, Cannes, Criterion Collection, Letterboxd"
32,Aladdin,1992,Ron Clements & John Musker,Animation/Adventure,A charming street thief discovers a magic lamp and enlists a wildly inventive Genie to win a princess's heart.,2 Oscars: Score and Song; Golden Globe: Special Achievement (Robin Williams); $504M worldwide,"Oscars, Golden Globes, Box Office Mojo, CinemaScore (A+)"
33,Glengarry Glen Ross,1992,James Foley,Drama,Ruthless real estate salesmen scheme and betray each other in David Mamet's blistering portrait of American capitalist desperation.,Oscar nom: Supporting Actor (Pacino); Golden Globe noms; legendary ensemble cast,"Oscars, Golden Globes, Criterion Collection, Metacritic, Roger Ebert"
34,Hoffa,1992,Danny DeVito,Biography/Crime,Jack Nicholson embodies the monumental labor leader Jimmy Hoffa from union firebrand to mysterious disappearance.,Golden Globe noms; Oscar noms; DeVito direction; Nicholson performance,"Golden Globes, Oscars, Box Office Mojo"
35,Zebrahead,1992,Anthony Drazan,Drama,An interracial romance between a white Jewish teenager and a Black girl sparks tensions in their Detroit high school.,Spirit noms; Sundance acclaim; racial identity drama,"Spirit Awards, Sundance, Letterboxd"
36,Bram Stoker's Dracula,1992,Francis Ford Coppola,Gothic Horror,Coppola's operatic lavishly designed reimagining of the vampire legend as a story of undying obsessive love.,3 Oscars: Costume/Sound/Makeup; $215M worldwide; Gary Oldman transformation,"Oscars, Box Office Mojo, CinemaScore (A-), Golden Globes"
37,And Life Goes On,1992,Abbas Kiarostami,Drama,A director searches for the child actors from his previous film after a devastating Iranian earthquake in this humanist masterpiece.,Cannes Un Certain Regard; Kiarostami's earthquake trilogy; Criterion Collection,"Cannes, Criterion Collection, Letterboxd, Sight & Sound"
38,Benny's Video,1992,Michael Haneke,Psychological Thriller,A teenager desensitized by violent media commits an act of murder and his bourgeois parents respond with chilling pragmatism.,Cannes Directors' Fortnight; Haneke's Glaciation Trilogy; Criterion Collection,"Cannes, Criterion Collection, Letterboxd"
39,A Place in the World,1992,Adolfo Aristarain,Drama,An Argentine family's idealistic rural community is disrupted by the arrival of corporate interests.,Oscar nom: Foreign Language Film (later controversially revoked); Argentine cinema,"Oscars, Letterboxd"
40,A River Runs Through It,1992,Robert Redford,Drama,Two brothers bond through fly-fishing in Depression-era Montana as their paths diverge toward beauty and tragedy.,Oscar: Best Cinematography; Golden Globe noms; Brad Pitt breakout; Redford direction,"Oscars, Golden Globes, Box Office Mojo, Metacritic"
41,All the Vermeers in New York,1992,Jon Jost,Drama/Romance,A Wall Street trader becomes obsessed with a French woman who resembles a figure in a Vermeer painting.,Spirit noms; micro-budget American indie; art-world meditation,"Spirit Awards, Letterboxd"
42,Children of Nature,1992,Friðrik Þór Friðriksson,Drama,Two elderly Icelanders escape a nursing home to journey back to their remote wilderness homeland.,Oscar nom: Foreign Language Film; Icelandic cinema gem; road movie poetry,"Oscars, Letterboxd"
43,Danzón,1992,María Novaro,Drama/Musical,A Mexico City telephone operator searches for her vanished dance partner in a lyrical feminist odyssey through Mexican culture.,Spirit nom: Best International Film; Mexican feminist cinema,"Spirit Awards, Letterboxd"
44,Deep Cover,1992,Bill Duke,Crime/Thriller,An undercover cop descends into Los Angeles drug trafficking losing himself in the role as moral lines blur.,2 Spirit noms; Laurence Fishburne and Jeff Goldblum; praised for complexity,"Spirit Awards, Metacritic, Letterboxd"
45,Indochine,1992,Régis Wargnier,Historical Epic,A French plantation owner's world unravels amid Vietnam's independence struggle in this sweeping colonial epic.,Oscar: Best Foreign Language Film; Catherine Deneuve stars,"Oscars, Golden Globes, Metacritic"
46,Laws of Gravity,1992,Nick Gomez,Crime/Drama,Brooklyn petty criminals spiral toward violence as debts loyalties and desperation collide in this raw microbudget debut.,4 Spirit noms; Gomez breakthrough; naturalistic crime cinema,"Spirit Awards, Letterboxd"
47,Lethal Weapon 3,1992,Richard Donner,Action/Comedy,Riggs and Murtaugh battle an arms-dealing rogue cop while navigating Murtaugh's impending retirement.,Oscar noms; $321M worldwide; franchise peak commercial success,"Oscars, Box Office Mojo, CinemaScore (A)"
48,Light Sleeper,1992,Paul Schrader,Crime/Drama,An aging Manhattan drug dealer confronts his mortality and exhaustion in Schrader's melancholic existential character study.,2 Spirit noms; Willem Dafoe and Susan Sarandon; Schrader's urban noir,"Spirit Awards, Roger Ebert, Metacritic"
49,One False Move,1992,Carl Franklin,Crime/Thriller,Three drug murderers flee Los Angeles toward a small Arkansas town where a naive sheriff and dark secrets await.,Spirit Award: Best Director; 5 Spirit noms; Roger Ebert's sleeper pick of the year,"Spirit Awards, Roger Ebert, Metacritic, Rotten Tomatoes"
50,The Lover,1992,Jean-Jacques Annaud,Drama,A poverty-stricken French teenager in 1929 colonial Vietnam begins a passionate clandestine affair with a wealthy Chinese man in this adaptation of Marguerite Duras's autobiographical novel that caused international sensation.,Oscar nomination for Best Cinematography; César Award nominations; $35M worldwide; one of the most talked-about international art films of 1992; Tony Leung Ka-fai and Jane March,"Oscars, César Awards, Box Office Mojo, Metacritic, Letterboxd"
51,The Ox,1992,Sven Nykvist,Drama,A starving man commits a desperate act during a 19th-century Swedish famine and lives with the crushing guilt.,Oscar nom: Foreign Language Film; legendary cinematographer Nykvist directs; Bergman connection,"Oscars, Letterboxd"
52,The Tune,1992,Bill Plympton,Animation,A songwriter struggling for a hit enters a surreal animated world searching for the perfect melody.,Spirit nom; Bill Plympton's independent animation; hand-drawn cult classic,"Spirit Awards, Letterboxd"
53,The Waterdance,1992,Neal Jimenez & Michael Steinberg,Drama,Three men in a rehabilitation center support each other with humor and honesty as they adjust to life with paralysis.,Spirit Awards: Best Screenplay and Best First Feature; 5 Spirit noms,"Spirit Awards, Letterboxd"
54,Toys,1992,Barry Levinson,Fantasy/Comedy,A toy factory heir must save his family's whimsical empire from being converted into a weapons manufacturing plant.,Oscar noms; Robin Williams; visually inventive but commercially underperforming,"Oscars, Box Office Mojo"
55,Under Siege,1992,Andrew Davis,Action/Thriller,A former Navy SEAL working as a ship's cook single-handedly battles terrorists who commandeer a U.S. battleship.,Oscar nom: Sound; Steven Seagal commercial peak; $156M worldwide,"Oscars, Box Office Mojo, CinemaScore (A)"
56,Guelwaar,1992,Ousmane Sembène,Drama,A politicized funeral becomes a collision of religion ethnicity and post-colonial identity in Senegal.,Venice Senate Gold Medal; Sembène's late-career masterwork; African cinema landmark,"Venice, Letterboxd"
57,Center Stage,1992,Stanley Kwan,Historical Drama,A portrait of 1930s Chinese silent film star Ruan Lingyu blending documentary and fiction in visually stunning style.,Berlin: Best Actress (Maggie Cheung); Hong Kong cinema landmark,"Berlin, Letterboxd, Criterion Collection"
58,Hear My Song,1992,Peter Chelsom,Comedy/Drama,A dodgy nightclub promoter must find a legendary Irish tenor to save his venue and his romance.,BAFTA noms; charming Irish-British comedy; Chelsom debut,"BAFTA, Letterboxd"
59,"Life, and Nothing More…",1992,,Drama,Featured on LB Top 500 list.,,LB Top 500
60,Mac,1992,John Turturro,Drama,Three Italian-American brothers clash building houses in 1950s Queens in Turturro's heartfelt directorial debut.,Cannes Caméra d'Or; Turturro debut; working-class family drama,"Cannes, Letterboxd"
61,Man Bites Dog,1992,Rémy Belvaux & André Bonzel & Benoît Poelvoorde,Dark Comedy/Horror,A documentary crew follows a charming serial killer gradually becoming complicit in his escalating violence.,Cannes Youth Special Award; Belgian cult classic; provocative media commentary,"Cannes, Criterion Collection, Letterboxd"
62,Simple Men,1992,Hal Hartley,Comedy/Drama,Two brothers search for their radical fugitive father across Long Island in Hartley's deadpan indie odyssey.,Cannes competition; Criterion Collection; Hartley's signature style,"Cannes, Criterion Collection, Letterboxd"
63,The Hairdresser's Husband,1992,Patrice Leconte,Romance/Comedy,A man who has been obsessed with hairdressers since childhood finally marries one and discovers perfect blissful love cannot last.,BAFTA nom; French romantic gem; Leconte's tender sensuality,"BAFTA, Letterboxd, Roger Ebert, Metacritic"
64,The Long Day Closes,1992,Terence Davies,Drama,A working-class Liverpool boy finds transcendence in cinema music and imagination in this luminous autobiographical tone poem.,Cannes competition; Criterion Collection; FIPRESCI recognition; British cinema masterwork,"Cannes, Criterion Collection, Letterboxd, Sight & Sound"
65,A Heart in Winter,1992,Claude Sautet,Drama,A violin craftsman becomes entangled in a restrained devastating love triangle within the world of classical music.,Venice Silver Lion; French prestige cinema; Criterion Collection,"Venice, Criterion Collection, Letterboxd"
66,Brother's Keeper,1992,Joe Berlinger & Bruce Sinofsky,Documentary,Four elderly reclusive brothers face murder investigation in rural New York exposing class prejudice and community loyalty.,Sundance acclaim; Roger Ebert praised; landmark true-crime documentary,"Sundance, Roger Ebert, Letterboxd"
67,Death of a Neapolitan Mathematician,1992,Mario Martone,Historical Drama,A Neapolitan intellectual confronts existential crisis in post-war Italy in Martone's assured debut.,Venice Grand Jury Prize; Italian art cinema,"Venice, Letterboxd"
68,Jamón Jamón,1992,Bigas Luna,Comedy/Drama,Sexual desire class rivalry and ham culture collide in a wildly exuberant Spanish farce set in Castile.,Venice Silver Lion; Penélope Cruz and Javier Bardem debuts; Criterion Collection,"Venice, Criterion Collection, Letterboxd"
69,L.627,1992,Bertrand Tavernier,Crime/Drama,A narcotics detective navigates the bureaucratic dysfunction and human toll of Parisian drug enforcement.,Venice competition; Tavernier's social conscience; French crime cinema,"Venice, Letterboxd, Metacritic"
70,Mississippi Masala,1992,Mira Nair,Romance/Drama,An Indian-American woman and a Black Mississippi man fall in love across cultural divides (wider 1992 release).,Venice: Best Screenplay; Criterion Collection; Nair breakthrough; Denzel Washington,"Venice, Criterion Collection, Letterboxd"
71,Orlando,1992,Sally Potter,Fantasy/Drama,Virginia Woolf's immortal shape-shifting hero journeys through four centuries of English history and gender transformation.,Venice: OCIC Award and Elvira Notari Prize; Tilda Swinton defining performance; Criterion Collection,"Venice, Criterion Collection, Letterboxd, Sight & Sound"
72,Raising Cain,1992,Brian De Palma,Psychological Thriller,A child psychologist's multiple personalities emerge in violent and twisting ways as De Palma homages Hitchcock.,Venice competition; Criterion Collection; De Palma's psychoanalytic thriller,"Venice, Criterion Collection, Letterboxd"
73,The Living End,1992,Gregg Araki,Drama/Road Movie,Two HIV-positive men go on a desperate nihilistic road trip across America in Araki's New Queer Cinema landmark.,Sundance selection; New Queer Cinema cornerstone; Araki breakthrough,"Sundance, Letterboxd, IndieWire"
74,Conte d'hiver (A Tale of Winter),1992,Éric Rohmer,Romance/Drama,A young woman's faith in love and an unlikely reunion guides her through a Parisian winter of romantic and philosophical choices.,Berlin FIPRESCI Prize; Rohmer's sublime humanism; Criterion Collection,"Berlin, Criterion Collection, Letterboxd, Sight & Sound"
75,A League of Their Own,1992,Penny Marshall,Sports/Comedy/Drama,Women form a professional baseball league during WWII proving they can play while their men fight overseas.,Golden Globe noms; $107M domestic; Tom Hanks and Geena Davis; feminist sports classic,"Golden Globes, Box Office Mojo, CinemaScore (A)"
76,American Dream,1992,Barbara Kopple,Documentary,A devastating portrait of a Minnesota meatpacking strike reveals the human cost of corporate greed and union division.,Oscar: Best Documentary; Kopple's follow-up to Harlan County USA,"Oscars, Roger Ebert, Metacritic"
77,Bob Roberts,1992,Tim Robbins,Political Satire,A right-wing folk-singing politician's mockumentary campaign conceals dark manipulation and growing authoritarianism.,Tim Robbins' directorial debut; Sundance acclaim; prescient political satire,"Sundance, Letterboxd, Metacritic"
78,Death Becomes Her,1992,Robert Zemeckis,Dark Comedy/Fantasy,Two aging rivals discover a potion for eternal youth with grotesquely hilarious consequences.,Oscar: Best Visual Effects; Meryl Streep Goldie Hawn Bruce Willis; $77M worldwide,"Oscars, Box Office Mojo, CinemaScore (B+)"
79,Home Alone 2: Lost in New York,1992,Chris Columbus,Comedy/Family,Kevin McCallister accidentally boards a plane to New York and must outsmart the same bumbling burglars all over again.,Golden Globe noms; $359M worldwide; holiday franchise continuation,"Golden Globes, Box Office Mojo, CinemaScore (A), The Numbers"
80,Leap of Faith,1992,Richard Pearce,Drama/Comedy,A charismatic con-man televangelist pulls into a drought-stricken Kansas town and may spark a genuine miracle.,Steve Martin dramatic turn; $12M domestic; satirical spiritual comedy,"Roger Ebert, Metacritic"
81,Leolo,1992,,Drama,Featured on FF 1990s list.,,FF 1990s
82,My Cousin Vinny,1992,Jonathan Lynn,Comedy/Legal,A fast-talking Brooklyn personal injury lawyer stumbles through his first murder trial in Alabama with hilarious results.,Oscar: Best Supporting Actress (Marisa Tomei); cult classic; $52M domestic,"Oscars, Box Office Mojo, CinemaScore (A+), Rotten Tomatoes"
83,Patriot Games,1992,Phillip Noyce,Action/Thriller,A retired CIA analyst and his family become targets after he foils an IRA assassination attempt in London.,Golden Globe noms; Harrison Ford as Jack Ryan; $178M worldwide,"Golden Globes, Box Office Mojo, CinemaScore (A)"
84,Sister Act,1992,Emile Ardolino,Comedy/Musical,A Las Vegas lounge singer hides from the mob in a convent and transforms the choir into a joyous sensation.,Golden Globe noms; $231M worldwide; Whoopi Goldberg vehicle; cultural phenomenon,"Golden Globes, Box Office Mojo, CinemaScore (A+)"
85,The Bodyguard,1992,Mick Jackson,Thriller/Romance,A Secret Service agent protects a pop superstar from a stalker as their bond deepens into an impossible romance.,Whitney Houston soundtrack phenomenon; $411M worldwide; Golden Globe noms,"Golden Globes, Box Office Mojo, CinemaScore (A+), The Numbers"
86,The Mighty Ducks,1992,Stephen Herek,Sports/Comedy,A disgraced lawyer is sentenced to coach a ragtag youth hockey team and discovers redemption through their underdog spirit.,Emilio Estevez; Disney franchise launcher; $50M domestic; family sports classic,"Box Office Mojo, CinemaScore"
87,The Playboys,1992,Gillies MacKinnon,Drama/Romance,A free-spirited unmarried mother in 1950s Ireland attracts attention from both a traveling actor and a possessive policeman.,Albert Finney and Aidan Quinn; Irish drama,"Metacritic, Letterboxd"
88,Wayne's World,1992,Penelope Spheeris,Comedy,Two metalhead public-access hosts navigate fame romance and a scheming producer while partying on in suburban Aurora.,Golden Globe noms; $183M worldwide; SNL breakout; defined early-90s comedy,"Golden Globes, Box Office Mojo, CinemaScore (A+)"
89,Honeymoon in Vegas,1992,Andrew Bergman,Comedy/Romance,A commitment-phobic man loses his fiancée in a poker game to a wealthy gambler and chases her to Vegas and Hawaii.,Nicolas Cage James Caan Sarah Jessica Parker; $35M domestic; quirky rom-com,"Box Office Mojo, Roger Ebert, Rotten Tomatoes"
90,Like Water for Chocolate,1992,Alfonso Arau,Romance/Drama,A young Mexican woman pours her forbidden passion into her cooking which magically affects everyone who eats it.,Highest-grossing foreign-language film in US at the time; magical realism masterpiece,"Box Office Mojo, Criterion Collection, Letterboxd"
91,South Central,1992,Steve Anderson,Drama,A former gang member returns from prison determined to save his son from the same violent life he once led.,Urban drama; Black cinema; Steve Anderson direction,"Letterboxd, Rotten Tomatoes"
92,35 Up,1992,Michael Apted,Documentary,The fifth installment of the groundbreaking Up series checks in with its British subjects now navigating middle age.,Unique longitudinal documentary series; sociological landmark,"Roger Ebert, Criterion Collection, Letterboxd"
93,Braindead,1992,,Horror,Featured on LB Horror list.,,LB Horror
94,Lessons of Darkness,1992,,Documentary,Featured on LB Documentary list.,,LB Documentary
95,Porco Rosso,1992,,Animation,Featured on LB Animated list.,,LB Animated
96,Rebels of the Neon God,1992,,Crime,Featured on LB Crime list.,,LB Crime
97,Terrorism and Kebab,1992,,Action,Featured on LB Action list.,,LB Action
98,The Lawnmower Man,1992,Brett Leonard,Sci-Fi/Thriller,A scientist uses virtual reality to enhance a simple gardener's intelligence with terrifying unforeseen consequences.,Early CGI landmark; VR cultural moment; $32M domestic,"Box Office Mojo, Rotten Tomatoes"
99,1492: Conquest of Paradise,1992,Ridley Scott,Historical Epic,Columbus's voyage to the New World is rendered as ambitious spectacle exploring colonialism's glory and brutality.,Ridley Scott direction; Gérard Depardieu; Vangelis score; $59M worldwide,"Box Office Mojo, Metacritic"
100,A Midnight Clear,1992,Keith Gordon,War/Drama,American soldiers during the Battle of the Bulge encounter a group of Germans who want to surrender in this haunting anti-war film.,Ethan Hawke and Gary Sinise; underseen war drama; praised for intelligence and restraint,"Rotten Tomatoes, Letterboxd, Metacritic"
101,Baraka,1992,Ron Fricke,Documentary,A non-narrative visual poem filmed across 24 countries on six continents interweaves imagery of sacred rituals industrial landscapes ancient monuments and human faces into a breathtaking meditation on existence and civilisation.,Filmed on 70mm film; widely regarded as one of the most visually stunning films ever made; Ron Fricke followed Koyaanisqatsi; enduring influence on non-narrative cinema and music video aesthetics; Criterion Collection,"Criterion Collection, Letterboxd, Sight & Sound"
102,Beethoven,1992,Brian Levant,Comedy/Family,A lovable St. Bernard wreaks adorable havoc on a suburban family resisting their father's attempts to get rid of him.,Family franchise launcher; $57M worldwide; Charles Grodin stars,"Box Office Mojo, CinemaScore (A)"
103,Boomerang,1992,Reginald Hudlin,Comedy/Romance,A womanizing marketing executive finally meets his match when a new boss plays his own game better than he does.,Eddie Murphy vehicle; Halle Berry breakout; $70M domestic; Black comedy milestone,"Box Office Mojo, Letterboxd"
104,Buffy the Vampire Slayer,1992,Fran Rubel Kuzui,Comedy/Action,A Valley girl cheerleader discovers she's destined to fight vampires in this cult comedy that spawned a legendary TV series.,Cult classic; spawned iconic TV franchise; Kristy Swanson and Donald Sutherland,"Rotten Tomatoes, Letterboxd"
105,Candyman,1992,Bernard Rose,Horror/Supernatural,A graduate student researching urban legends summons a hook-handed specter who is terrifyingly real and deeply poetic.,Cult classic; Tony Todd iconic; explores race and mythology; horror-art cinema crossover,"Rotten Tomatoes, Letterboxd, Roger Ebert"
106,Consenting Adults,1992,Alan J. Pakula,Thriller,A suburban couple's lives are destroyed when their charming new neighbors propose a dangerous wife-swapping arrangement.,Kevin Kline and Kevin Spacey; Pakula thriller; domestic suspense,Box Office Mojo
107,Damage,1992,Louis Malle,Erotic Drama,A politician's consuming obsession with his son's fiancée leads to devastating consequences for everyone involved.,Louis Malle's penultimate film; Jeremy Irons and Juliette Binoche; critically acclaimed,"Metacritic, Roger Ebert, Letterboxd"
108,Diggstown,1992,Michael Ritchie,Sports/Drama,A con man bets he can find a boxer to defeat ten opponents in one day in a corrupt Southern town.,James Woods and Louis Gossett Jr.; underseen sports con film; cult following,"Rotten Tomatoes, Letterboxd"
109,Encino Man,1992,Les Mayfield,Comedy,Two high school outcasts thaw a frozen caveman who becomes the most popular kid in school.,Brendan Fraser breakout; Pauly Shore and Sean Astin; stoner comedy cult classic; $40M domestic,"Box Office Mojo, Letterboxd"
110,Falling from Grace,1992,John Mellencamp,Drama,A country music star returns to his Indiana hometown and finds he cannot reconnect with the roots he romanticized.,Mellencamp directorial debut; Roger Ebert praised; intimate character study,"Roger Ebert, Metacritic"
111,Far and Away,1992,Ron Howard,Romance/Adventure,A tenacious Irish tenant farmer and a wealthy woman journey to America seeking land and freedom in the 1890s.,Tom Cruise and Nicole Kidman; 70mm cinematography; $58M domestic,Box Office Mojo
112,Flirting,1992,John Duigan,Romance/Drama,A shy Australian schoolboy falls for a Ugandan diplomat's daughter in this tender intelligent coming-of-age romance.,Roger Ebert: most entertaining film of 1992; Nicole Kidman and Thandie Newton early roles,"Roger Ebert, Metacritic, Letterboxd"
