Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp,RankOverride
35,Marcel the Shell with Shoes On,2022,Dean Fleischer Camp,Animation/Comedy,A one-inch shell named Marcel lives with his grandmother and embarks on a quest to find his long-lost family in this impossibly charming hybrid comedy.,Oscar nom Animated; A24; RT 89 MC 81; Slate voice; expanded from YouTube shorts; Rossellini grandmother; stop-motion/live-action hybrid; 60 Minutes subplot; profound loneliness under whimsy,"Academy Awards, Metacritic, Rotten Tomatoes",,,,,
36,The Novelists Film,2022,Hong Sang-soo,Drama,A novelist encounters acquaintances and an actress during a Seoul walk in Hongs charming typically prolific offering.,Berlin Grand Jury Prize; RT 92 MC 77; Kim Min-hee; Hong annual output; minimalist Korean cinema; conversational; Kim and Hong collaboration,"Berlin, Metacritic, Rotten Tomatoes",,,,,
37,Bones and All,2022,Luca Guadagnino,Horror/Romance,A young woman learns to survive on the margins and embarks on a road trip with a drifter in Guadagninos cannibalistic love story.,Venice Silver Lion Director + Mastroianni (Russell); RT 84 MC 76; Chalamet Russell Rylance; Call Me By Your Name follow-up; cannibal romance; Reagan-era; Russell star-making; Rylance terrifying,"Venice, Metacritic, Rotten Tomatoes",,,,,
38,The Inspection,2022,Elegance Bratton,Drama,A young gay Black man joins the Marines hoping for acceptance but faces brutal hazing and homophobia in Brattons powerful autobiographical debut.,Spirit Best First Feature nom; RT 84 MC 75; Jeremy Pope; Bratton debut; USMC boot camp; Pope extraordinary; Woodbine; Gabrielle Union; autobiographical; A24,"Spirit Awards, Metacritic, Rotten Tomatoes",,,,,
39,Fire of Love,2022,Sara Dosa,Documentary/Romance,The love story of married volcanologists Katia and Maurice Krafft who died in a 1991 eruption told through their stunning footage.,Oscar nom Documentary; RT 81 MC 76; Krafft volcanologists; IMAX; Miranda July narration; love through science; French volcanologists; stunning archival; Nat Geo,"Academy Awards, Metacritic, Rotten Tomatoes",,,,,
40,Showing Up,2022,Kelly Reichardt,Drama/Comedy,A sculptor preparing for a career-making show navigates daily life and complicated relationships in Reichardts characteristically understated portrait of artistic process.,Cannes Competition; RT 86 MC 82; Michelle Williams; Reichardt First Cow follow-up; Portland art world; Williams and Hong Chau; pigeon subplot; quotidian beauty,"Cannes, Metacritic, Rotten Tomatoes",,,,,
41,Aftersun,2022,Charlotte Wells,Drama,A young woman reflects on a holiday she took with her father twenty years earlier in Wells devastating debut that excavates memory grief and unspoken pain.,Oscar nom Actor (Mescal); Spirit nom; BAFTA Outstanding British Film nom; Mescal extraordinary; Wells directorial debut; A24; Frankie Corio child performance; father-daughter; Turkish resort; one of decades best debuts,"Academy Awards, Spirit Awards, BAFTA, Metacritic, Rotten Tomatoes",,1,,,
42,Emergency,2022,Carey Williams,Comedy/Thriller,Two college students must weigh calling the police when they find a white woman unconscious in their apartment in Williams sharp race-conscious comedy.,Sundance Screenwriting Award; RT 90 MC 73; Amazon; Williams; racial profiling; college students; dark comedy; timely; expanded from short; K.D. Davila screenplay,"Sundance, Metacritic, Rotten Tomatoes",,,,,
43,Palm Trees and Power Lines,2022,Jamie Dack,Drama,A teenager begins a relationship with a much older man in Dacks unflinching Sundance-winning debut about predatory grooming.,Sundance Directing Award US Dramatic; RT 90 MC 73; Dack debut; Lily McInerny; grooming; predatory relationship; suburban danger; intimate filmmaking,"Sundance, Metacritic, Rotten Tomatoes",,,,,
44,Blonde,2022,Andrew Dominik,Drama/Biography,A fictionalized chronicle of Marilyn Monroes inner life in Dominiks controversial NC-17 Netflix biographical drama.,Venice Competition; Oscar nom Cinematography; Netflix; RT 41 MC 46; Ana de Armas committed; Oates novel; NC-17; exploitation debate; de Armas extraordinary despite film,"Venice, Academy Awards, Metacritic, Rotten Tomatoes",,,,,
45,Corsage,2022,Marie Kreutzer,Drama/History,Empress Elisabeth of Austria approaches her 40th birthday and pushes back against the constraints of her role in Kreutzers revisionist feminist portrait.,Cannes Un Certain Regard Best Performance (Krieps); RT 86 MC 75; Vicky Krieps extraordinary; Spencer comparison; bodily autonomy; historical reimagining; Austrian royalty,"Cannes, Metacritic, Rotten Tomatoes",,,,,
46,Till,2022,Chinonye Chukwu,Drama/Biography,Mamie Till-Mobley pursues justice after the lynching of her 14-year-old son Emmett Till in Chukwus powerful historical drama.,RT 77 MC 66; Deadwyler; Chukwu Clemency follow-up; Emmett Till 1955; Mamie Till-Mobley; Deadwyler robbed of Oscar nom; Goldberg; Deadwyler extraordinary,"Metacritic, Rotten Tomatoes",,,,,
47,Broker,2022,Hirokazu Koreeda,Drama/Comedy,Two men who steal an abandoned baby from a church baby box find themselves on an unexpected journey in Koreedas tender Korean-language film.,Cannes Best Actor (Song Kang-ho); RT 82 MC 77; Song Koreeda collaboration; Koreedas first Korean film; baby box; found family; IU; Song Parasite star; adoption ethics,"Cannes, Metacritic, Rotten Tomatoes",,,,,
48,Holy Spider,2022,Ali Abbasi,Crime/Thriller,A journalist in the Iranian holy city of Mashhad investigates a serial killer targeting sex workers in Abbasis gripping true-crime thriller.,Cannes Best Actress (Zar Amir Ebrahimi); RT 82 MC 75; Abbasi Border follow-up; Saeed Hanaei real killer; banned in Iran; Ebrahimi extraordinary,"Cannes, Metacritic, Rotten Tomatoes",,,,,
49,War Pony,2022,Riley Keough and Gina Gammell,Drama,Two Lakota boys on the Pine Ridge Reservation navigate precarious paths toward manhood in Keough and Gammells directorial debut.,Cannes Camera dOr (Best First Film); RT 85 MC 68; Pine Ridge; Lakota representation; Indigenous stories; non-professional actors; poverty and resilience; coming-of-age,"Cannes, Metacritic, Rotten Tomatoes",,,,,
50,Boy from Heaven,2022,Tarik Saleh,Thriller/Drama,A fishermans son at prestigious Al-Azhar University becomes entangled in a power struggle between religious and political elites.,Cannes Best Screenplay; RT 82 MC 68; Saleh Nile Hilton follow-up; Al-Azhar; Egyptian politics; faith and power; Barhom; political thriller,"Cannes, Metacritic, Rotten Tomatoes",,,,,
51,Boiling Point,2022,Philip Barantini,Drama/Thriller,A head chef tries to hold things together during one of the busiest nights of the year in Barantinis single-take restaurant pressure cooker.,BAFTA nom British Film; RT 77 MC 72; Stephen Graham; one continuous take; London restaurant; Graham extraordinary; real-time; British indie; Barantini debut,"BAFTA, Metacritic, Rotten Tomatoes",,,,,
52,Fire Island,2022,Andrew Ahn,Comedy/Romance,Two best friends set out for a legendary summer on Fire Island in Ahns joyful Pride and Prejudice-inspired queer rom-com.,Hulu; RT 95 MC 74; Booster Yang; Ahn Driveways follow-up; Pride and Prejudice retelling; Joel Kim Booster wrote starred; Bowen Yang; LGBTQ joy; Austen,"Metacritic, Rotten Tomatoes",,,,,
53,Spring Awakening: Those Youve Known,2022,Michael John Warren,Documentary/Music,The cast of the Tony-winning musical Spring Awakening reunites to reflect on the shows impact in Warrens moving reunion documentary.,HBO; RT 95 MC 72; original Broadway cast; Lea Michele Jonathan Groff; cast reflections; theater community; emotional reunion,"Metacritic, Rotten Tomatoes",,,,,
54,Bros,2022,Nicholas Stoller,Comedy/Romance,Two men with commitment issues attempt a relationship in Stollers groundbreaking major-studio rom-com featuring an entirely LGBTQ+ principal cast.,RT 91 MC 75; $14M domestic (major flop); Eichner; Stoller; first major-studio gay rom-com; Eichner wrote and starred; historically significant; flopped hard,"Metacritic, Rotten Tomatoes, Box Office Mojo",,,,,
55,Rabiye Kurnaz vs. George W. Bush,2022,Andreas Dresen,Drama/Comedy,A tenacious mother fights to free her son from Guantanamo Bay in Dresens absurdist true story about bureaucratic injustice.,Berlin Silver Bear Leading Performance (Kaptan) + Screenplay; RT 85 MC 71; Meltem Kaptan extraordinary; Murat Kurnaz true story; Guantanamo; German-Turkish mother; Berlin double winner,"Berlin, Metacritic, Rotten Tomatoes",,,,,
56,Crimes of the Future,2022,David Cronenberg,Sci-Fi/Horror,A performance artist showcases the metamorphosis of his organs in a future where humanity adapts to its synthetic surroundings in Cronenbergs body horror return.,Cannes Competition; RT 71 MC 68; Mortensen Seydoux Stewart; Cronenberg first film in 8 years; body horror return; surgery as performance; Viggo; Cronenberg mythology,"Cannes, Metacritic, Rotten Tomatoes",,,,,
57,The Eternal Daughter,2022,Joanna Hogg,Drama/Horror,A filmmaker and her elderly mother confront secrets when they return to a country house in Hoggs eerie atmospheric chamber piece.,Venice Competition; RT 77 MC 69; Tilda Swinton dual role; Hogg Souvenir trilogy conclusion; Welsh hotel; ghost story; mother-daughter; Swinton plays both; atmospheric restraint,"Venice, Metacritic, Rotten Tomatoes",,1,,,
58,Glass Onion: A Knives Out Mystery,2022,Rian Johnson,Mystery/Comedy,Detective Benoit Blanc travels to Greece to peel back layers of a mystery involving a tech billionaire and his friends in Johnsons wickedly entertaining sequel.,RT 92 MC 80; Netflix; Craig Bautista Janney Monae Hudson Odom; Johnson Knives Out follow-up; tech billionaire satire; Monae extraordinary dual role; Netflix limited theatrical,"Metacritic, Rotten Tomatoes",,,3,2026-04-01T11:45:27.106Z,
59,The Woman King,2022,Gina Prince-Bythewood,Action/Drama,A general of an all-female unit fights to protect the African kingdom of Dahomey in Prince-Bythewoods rousing historical action epic.,$94M worldwide; RT 94 MC 76; Viola Davis; Agojie warriors; Dahomey kingdom; Davis physical transformation; Boyega; historic African women warriors; crowd-pleaser,"Metacritic, Rotten Tomatoes, Box Office Mojo",,,,,
60,Armageddon Time,2022,James Gray,Drama,A young boy navigates a changing world during Reagans rise in Grays deeply personal semi-autobiographical coming-of-age drama.,Cannes Competition; RT 69 MC 59; Banks Strong Hathaway Hopkins; Gray Ad Astra follow-up; 1980 Queens; race class privilege; Trump family connection; Jaylin Webb,"Cannes, Metacritic, Rotten Tomatoes",,,,,
61,Resurrection,2022,Andrew Semans,Horror/Thriller,A womans ordered life is upended when an abusive ex reappears in this psychological horror anchored by Rebecca Halls extraordinary performance.,Sundance premiere; RT 74 MC 62; Rebecca Hall Tim Roth; Semans debut; Halls seven-minute monologue; body horror climax; abuse survival; Hall career-best; IFC,"Sundance, Metacritic, Rotten Tomatoes",,,,,
62,Descendant,2022,Margaret Brown,Documentary,The community of Africatown Alabama reckons with the discovery of the Clotilda the last known slave ship in Browns essential historical documentary.,RT 91 MC 78; Netflix; Clotilda slave ship; Africatown; 2019 discovery; American slavery; community voices; historical reckoning; descendant community,"Metacritic, Rotten Tomatoes",,,,,
63,Good Luck to You Leo Grande,2022,Sophie Hyde,Comedy/Drama,A retired widow hires a young sex worker to experience something shes been missing in Hydes warm two-hander about female desire.,RT 79 MC 72; Thompson McCormack; female sexuality; Emma Thompson brave; hotel room; age and desire; body positivity; Sundance; Hyde debut; McCormack charming,"Metacritic, Rotten Tomatoes",,,,,
64,The Batman,2022,Matt Reeves,Action/Crime,Batman ventures into Gothams underworld when a sadistic killer leaves cryptic clues targeting the citys elite in Reeves noir-inflected detective thriller.,$770M worldwide; RT 84 MC 72; Pattinson Kravitz Dano Farrell Wright Turturro; Reeves; noir detective Batman; Riddler; Zodiac influence; three hours; Pattinson redefines; Kravitz Catwoman,"Metacritic, Rotten Tomatoes, Box Office Mojo",,1,,,
65,Hustle,2022,Jeremiah Zagar,Drama/Sports,A basketball scout discovers a once-in-a-lifetime player abroad and brings him to America in Zagars crowd-pleasing sports drama.,Netflix; RT 92 MC 72; Sandler Hernangomez; Zagar We the Animals follow-up; NBA; Sandler serious mode; real NBA players; LeBron produced; Philadelphia 76ers,"Metacritic, Rotten Tomatoes",,,,,
66,Prey,2022,Dan Trachtenberg,Action/Sci-Fi,A young Comanche warrior fights to protect her tribe from an alien predator in Trachtenbergs thrilling prequel that revitalized the Predator franchise.,Hulu; RT 92 MC 71; Amber Midthunder; 10 Cloverfield Lane follow-up; Comanche setting 1719; Indigenous representation; Midthunder star-making; best Predator since original; Naru,"Metacritic, Rotten Tomatoes",,1,,,
67,White Noise,2022,Noah Baumbach,Drama/Comedy,A professor and his family face an airborne toxic event in Baumbachs ambitious adaptation of DeLillos supposedly unfilmable novel.,Venice Opening Night; Netflix; RT 69 MC 60; Driver Gerwig; Baumbach Marriage Story follow-up; consumerism death anxiety; airborne toxic event; ambitious but unwieldy,"Venice, Metacritic, Rotten Tomatoes",,,,,
68,Fresh,2022,Mimi Cave,Horror/Comedy,A young woman is lured into a trap by a charming man she meets at a grocery store in Caves darkly funny debut about dating horror.,Sundance premiere; Hulu; RT 80 MC 64; Edgar-Jones Stan; Cave debut; dating horror; cannibalism; Stan against type; satirical body horror; Sundance sensation,"Sundance, Metacritic, Rotten Tomatoes",,,,,
69,Athena,2022,Romain Gavras,Action/Drama,The death of a boy at the hands of police sparks a fiery uprising in a housing project in Gavras kinetic one-take-style political action film.,Venice Competition; Netflix; RT 64 MC 62; French banlieue; riot film; virtuoso tracking shots; opening sequence extraordinary; political powder keg,"Venice, Metacritic, Rotten Tomatoes",,,,,
70,Empire of Light,2022,Sam Mendes,Drama/Romance,A cinema manager in early 1980s England forms a bond with a new employee against a backdrop of racial tension in Mendes personal film.,Oscar nom Cinematography (Roger Deakins); RT 42 MC 52; Colman Abubakar Ward; Mendes 1917 follow-up; 1980s seaside; cinema nostalgia; Deakins gorgeous; critically disappointing,"Academy Awards, Metacritic, Rotten Tomatoes",,,,,
71,One Fine Morning,2022,Mia Hansen-Love,Drama/Romance,A young mother caring for her ailing father embarks on an affair with an old friend in Hansen-Loves delicate portrait of love amid loss.,RT 88 MC 79; Seydoux; Hansen-Love Bergman Island follow-up; Paris; grief and desire; Seydoux luminous; dementia; affair; Poupaud; tender daily life,"Metacritic, Rotten Tomatoes",,,,,
72,Pearl,2022,Ti West,Horror/Drama,A young woman trapped on her familys 1918 farm harbors sinister ambitions in Wests audacious X prequel spotlighting Mia Goths extraordinary performance.,RT 85 MC 80; A24; Goth star-making; X prequel; 1918 influenza; Technicolor homage; Wizard of Oz echoes; Goths 7-minute monologue; filmed back-to-back with X; Goth co-wrote,"Metacritic, Rotten Tomatoes",,,,,
73,Jackass Forever,2022,Jeff Tremaine,Comedy,Johnny Knoxville and the original jackass crew return with a new generation of daredevils for another round of outrageous stunts.,$80M worldwide; RT 86 MC 78; Knoxville Steve-O; franchise farewell; new cast; legacy stunt comedy; surprisingly well-reviewed; nostalgia meets new blood,"Metacritic, Rotten Tomatoes, Box Office Mojo",,,,,
