Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
11,Inglourious Basterds,2009,Quentin Tarantino,War/Comedy,An allied squad of Jewish-American soldiers spreads terror through Nazi-occupied France while a cinema owner plots her own revenge in Tarantinos audacious revisionist WWII masterwork.,Oscar Supporting Actor (Waltz); Cannes Best Actor (Waltz); SAG Ensemble; 8 Oscar noms; RT 89 MC 69; $321M on $70M; Waltzs Hans Landa among cinemas greatest villains,"Academy Awards, Cannes Film Festival, SAG Awards, Metacritic",,,5,2026-04-02T08:05:16.063Z
12,Up,2009,Pete Docter,Animation/Adventure,A 78-year-old widower ties thousands of balloons to his house to fly to South America and inadvertently takes along an eager young wilderness explorer in Pixars soaring masterpiece of love loss and adventure.,2 Oscars (Animated Feature + Score); Oscar nom Picture; RT 98 MC 88; $735M on $175M; married-life montage among cinemas greatest sequences; BAFTA Animated; Cannes opening film,"Academy Awards, BAFTA, Cannes Film Festival, Metacritic",,,,
13,Nine,2009,Rob Marshall,Musical/Drama,An Italian film director in creative crisis juggles the women in his life as his new picture falls apart in Marshalls lavish Fellini-inspired musical.,4 Oscar noms (Supporting Actress Art Direction Costumes Song); RT 37 MC 56; $56M on $80M; Cruz Day-Lewis Dench Kidman Cotillard; disappointing but star power dazzling,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
14,Thirst,2009,Park Chan-wook,Horror/Romance,A Catholic priest transformed into a vampire by a failed medical experiment struggles between his bloodlust and his faith in Parks operatic bloody romantic masterwork.,Cannes Jury Prize (shared); RT 82 MC 77; $15M; Parks most baroque; Song Kang-ho as tormented priest; Korean cinema gothic; Hitchcock meets Stoker meets Christianity,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,1,,
15,Police Adjective,2009,Corneliu Porumboiu,Drama/Crime,A Romanian detective ordered to arrest a teenager for smoking marijuana stalls the investigation on moral grounds in Porumboius deadpan procedural masterwork about language law and conscience.,Cannes Un Certain Regard Jury Prize; RT 88 MC 79; Romanian New Wave continued; dictionary scene unforgettable; bureaucracy as philosophy; minimalism as political act,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,,,
16,Mary and Max,2009,Adam Elliot,Animation/Drama,A lonely Australian girl and a middle-aged New Yorker with Aspergers syndrome become pen pals over twenty years in Elliots achingly beautiful claymation masterpiece.,Sundance Grand Jury nom; Berlin Crystal Bear; RT 95 MC 76; $1.5M; Australian stop-motion; Hoffman Collette Bana voices; deeply moving; cult classic status immediate,"Sundance Film Festival, Berlin Film Festival, Metacritic, Rotten Tomatoes",,,,
17,The Cove,2009,Louie Psihoyos,Documentary,A team of activists and filmmakers infiltrate a heavily guarded cove in Japan to document the mass slaughter of dolphins in this thrilling exposé that doubled as an ocean heist film.,Oscar Best Documentary; Sundance Audience Doc; RT 95 MC 82; $1.1M; structured as a heist; dolphin slaughter footage devastating; changed Japanese policy debates,"Academy Awards, Sundance Film Festival, Metacritic, Rotten Tomatoes",,,,
18,Fantastic Mr. Fox,2009,Wes Anderson,Animation/Comedy,A fox who promises his wife to give up chicken stealing relapses spectacularly and wages war against three farmers in Andersons delightfully handcrafted stop-motion adaptation of Roald Dahl.,Oscar nom Animated Feature; RT 93 MC 83; $46M on $40M; Andersons stop-motion debut; Clooney Streep voices; Dahls anarchic spirit perfectly captured,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,1,,
19,The Messenger,2009,Oren Moverman,Drama/War,Two soldiers assigned to notify families of combat deaths form an unlikely bond as they confront the human cost of war in Movermans devastating directorial debut.,Berlin Best Screenplay; Oscar nom Supporting Actor (Harrelson); Spirit noms; RT 89 MC 77; $1.1M on $6.5M; Harrelson and Foster extraordinary; quiet war film,"Berlin Film Festival, Academy Awards, Independent Spirit Awards, Metacritic",,,,
20,Dogtooth,2009,Yorgos Lanthimos,Drama/Thriller,Three adult siblings kept isolated by their parents in a sealed compound have their entire reality controlled through language and ritual in Lanthimos shocking absurdist debut.,Cannes Un Certain Regard Prize; Oscar nom Foreign; RT 93 MC 73; $114K US; Greek Weird Wave born here; Lanthimos announced; domestic tyranny as allegory; profoundly disturbing,"Cannes Film Festival, Academy Awards, Metacritic, Rotten Tomatoes",,1,,
21,A Single Man,2009,Tom Ford,Drama,A British college professor in 1960s Los Angeles plans to end his life on the anniversary of his lovers death in Fords exquisitely crafted meditation on grief and beauty.,Venice Volpi Cup Actor (Firth); Spirit noms; RT 87 MC 78; $25M on $7M; Firth Oscar-nominated; Fords fashion eye translated to cinema; Moore luminous support,"Venice Film Festival, Independent Spirit Awards, Metacritic, Rotten Tomatoes",,,,
22,District 9,2009,Neill Blomkamp,Sci-Fi/Action,Alien refugees stranded in Johannesburg are confined to a slum and a bureaucrat exposed to alien technology begins a horrifying transformation in Blomkamps visceral apartheid allegory.,4 Oscar noms including Picture; RT 90 MC 81; $211M on $30M; 7x return; science fiction as political allegory; Copley career-making; produced by Peter Jackson,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,5,2026-04-02T08:04:20.695Z
23,Moon,2009,Duncan Jones,Sci-Fi/Drama,A lone astronaut nearing the end of his three-year stint on the moon begins to unravel a disturbing mystery about the nature of his mission in Jones haunting cerebral debut.,BAFTA Outstanding Debut; Spirit nom; RT 90 MC 74; $10M on $5M; Rockwell magnificent solo performance; 2001 heir; practical effects; Jones announced himself,"BAFTA, Independent Spirit Awards, Metacritic, Rotten Tomatoes",,,,
24,The Maid,2009,Sebastian Silva,Drama/Comedy,A longtime live-in maid for a wealthy Chilean family begins acting out as her territory is threatened by new hires in Silvas sharp observant class comedy.,Sundance World Dramatic Grand Jury Prize; RT 95 MC 72; $800K; Catalina Saavedra revelatory; Chilean class dynamics dissected; domestic labor as identity,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
25,I Am Love,2009,Luca Guadagnino,Drama/Romance,A wealthy Milanese matriarch is driven by forbidden passion to abandon her ordered bourgeois life in Guadagninos ravishingly sensuous portrait of desire identity and transformation.,Venice Film Festival 2009 (official selection); David di Donatello Best Film nom; MC 80 RT 92%; Tilda Swinton extraordinary; Guadagninos international breakthrough; Milanese haute bourgeoisie dissected with formal ambition; Brahms score and garden sequences unforgettable,"Venice Film Festival, David di Donatello, Metacritic, Rotten Tomatoes",,,,
26,Food Inc.,2009,Robert Kenner,Documentary,Americas industrialized food system is exposed as a network of corporate greed animal cruelty and health hazards in Kenners influential angry documentary.,Oscar nom Documentary; RT 96 MC 80; $4.4M; dining habits changed; Monsanto exposed; corporate food supply chain dissected; cultural impact significant,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
27,About Elly,2009,Asghar Farhadi,Drama/Thriller,A group of friends on a seaside holiday try to set up a young teacher with a recently divorced man but a sudden disappearance unravels their web of lies in Farhadis masterful ensemble thriller.,Berlin Silver Bear Director; Tribeca Best Narrative; RT 97 MC 87; Farhadi pre-A Separation; Iranian society dissected through a missing-person search; unbearable tension,"Berlin Film Festival, Tribeca Film Festival, Metacritic, Rotten Tomatoes",,,,
28,The Secret in Their Eyes,2009,Juan Jose Campanella,Thriller/Drama,A retired Argentine legal counselor writing a novel about an unsolved rape-murder case from 25 years ago discovers the truth has been closer than he imagined in this riveting literary thriller.,Oscar Best Foreign Language Film; RT 90 MC 80; $35M; Argentine cinema landmark; stadium sequence masterful; Darin commanding; twist devastating,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
29,(500) Days of Summer,2009,Marc Webb,Romance/Comedy,A young man reflects on his failed relationship through a non-linear structure that reveals how expectation and reality diverge in Webbs inventive indie romance.,Spirit nom; Golden Globe nom; RT 85 MC 76; $60M on $7.5M; 8x return; Levitt Deschanel chemistry; non-linear romance; Expectations vs Reality split-screen iconic,"Independent Spirit Awards, Golden Globes, Metacritic, Rotten Tomatoes",,,4,2026-04-02T08:06:10.824Z
30,Star Trek,2009,J.J. Abrams,Sci-Fi/Action,The young crew of the USS Enterprise assembles for the first time to face a vengeful Romulan from the future in Abrams thrilling franchise reboot that made Trek cool again.,Oscar Makeup; RT 94 MC 82; $386M on $150M; Pine Quinto; franchise brilliantly rebooted; 2.6x return; Nimoy passing the torch; blockbuster filmmaking at its finest,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,3,2026-04-02T08:06:18.104Z
31,Crazy Heart,2009,Scott Cooper,Drama/Music,A down-and-out country music singer tries to turn his life around when he falls for a young journalist in Coopers tender character study anchored by Jeff Bridges.,Oscar Best Actor (Bridges) + Original Song; RT 91 MC 83; $47M on $7M; Bridges vanished into Bad Blake; Gyllenhaal warm; Farrell surprising as protege; country music soul,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
32,Bright Star,2009,Jane Campion,Drama/Romance,The passionate doomed love story between Romantic poet John Keats and his neighbor Fanny Brawne unfolds with luminous detail in Campions tender literary masterpiece.,Cannes competition; Costume Design nom; RT 84 MC 81; $8M on $12M; Whishaw and Cornish exquisite; Campions most tender film; poetry as cinema,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
33,Goodbye Solo,2009,Ramin Bahrani,Drama,A Senegalese taxi driver in Winston-Salem befriends a gruff elderly man who has purchased a one-way ticket to a remote mountaintop in Bahranis quietly devastating character study.,Spirit noms; RT 93 MC 79; $228K; Bahranis finest; nonprofessional cast; American neorealism; friendship across generations and cultures; Ebert championed,"Independent Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,
34,A Serious Man,2009,Joel Coen and Ethan Coen,Drama/Comedy,A Midwestern physics professor watches his life disintegrate as his wife leaves him his brother squats on his couch and a neighbor encroaches on his property in the Coens darkly comic Job parable.,Oscar nom Picture + Original Screenplay; RT 89 MC 82; $31M on $7M; Coens most personal film; Jewish suburban existentialism; Stuhlbarg magnificent; Gopnik uncertainty principle,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
35,Coraline,2009,Henry Selick,Animation/Horror,A girl who moves to a dreary new home discovers a secret door to an idealized parallel world with sinister intentions in Laikas gorgeous stop-motion dark fairy tale.,Oscar nom Animated Feature; RT 90 MC 80; $124M on $60M; Laikas debut feature; Gaiman adaptation; Other Mother terrifying; button eyes nightmarish; 3D showcase,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,1,,
36,The Most Dangerous Man in America,2009,Judith Ehrlich and Rick Goldsmith,Documentary,Daniel Ellsberg recounts his decision to leak the Pentagon Papers and the political firestorm that followed in this gripping whistleblower documentary.,Oscar nom Documentary; RT 91 MC 77; $469K; Ellsberg portrait compelling; Vietnam War deception exposed; whistleblowing ethics explored; historically vital,"Academy Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,
37,Afghan Star,2009,Havana Marking,Documentary,Young Afghan contestants on a televised singing contest risk their lives in a country where music was banned under the Taliban in this remarkable documentary about freedom and culture.,Sundance World Documentary Audience + Director; RT 88 MC 80; $107K; music as liberation; post-Taliban Afghanistan; contestants courage; cultural freedom stakes real,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
38,Father of My Children,2009,Mia Hansen-Love,Drama,An independent film producer juggling financial ruin and family devotion reaches a breaking point in Hansen-Loves devastating portrait inspired by Humbert Balsans life and death.,Cannes Un Certain Regard Special Mention; RT 92 MC 84; Hansen-Loves breakthrough; cinema industry from inside; grief and legacy; formally assured,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,,,
39,We Live in Public,2009,Ondi Timoner,Documentary,Internet pioneer Josh Harris conducted social experiments in surveillance and online living that eerily predicted our current digital privacy crisis.,Sundance Grand Jury Doc; RT 74 MC 66; $254K; prophetic documentary; Harris as visionary madman; internet surveillance predicted 20 years early,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
40,Good Hair,2009,Jeff Stilson,Documentary,Chris Rock explores the culture politics and billion-dollar industry of African-American hair in this funny eye-opening Sundance hit.,Sundance Special Jury Prize; RT 96 MC 75; $4.2M; Rock as guide; Black hair culture explored with humor and depth; salon conversations revealing; culturally significant,"Sundance Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
41,The Loved Ones,2009,Sean Byrne,Horror,A teenager who declines a girls prom invitation is kidnapped for a twisted private dance in Byrnes viciously entertaining Australian horror debut.,TIFF Midnight Madness Peoples Choice; RT 98 MC 69; $50K US; Australian horror gem; Booth Cochrane; torture horror with personality; prom night from hell perfected,"Toronto Film Festival, Metacritic, Rotten Tomatoes, Letterboxd",,,,
42,Anvil! The Story of Anvil,2009,Sacha Gervasi,Documentary,The Canadian heavy metal band Anvil once poised for fame decades ago soldiers on through obscurity in Gervasis hilarious heartbreaking real-life Spinal Tap.,RT 98 MC 83; $1.5M; rock-doc masterpiece; Lips and Robb lovable; underdog story perfected; heavy metal devotion; audience favorite worldwide,"Metacritic, Rotten Tomatoes, Box Office Mojo, Letterboxd",,,,
43,Lourdes,2009,Jessica Hausner,Drama,A wheelchair-bound woman at the Catholic pilgrimage site of Lourdes experiences a miraculous recovery and the community reacts with jealousy doubt and faith in Hausners austere examination.,Venice competition; RT 90 MC 73; $2.5M; Austrian cinema; miracle as social phenomenon; Hausners formal control; Testud magnificent; faith interrogated,"Venice Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
44,Broken Embraces,2009,Pedro Almodovar,Drama/Thriller,A blind screenwriter recalls his passionate affair with a beautiful woman entangled with a powerful businessman in Almodovars lush Hitchcockian melodrama about cinema and desire.,Cannes competition; RT 81 MC 73; $31M on $18M; Cruz mesmerizing; Almodovar self-reflexive cinema love; Spain meets noir; visually ravishing,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
45,Burma VJ,2009,Anders Ostergaard,Documentary,Undercover Burmese video journalists risked their lives to document the 2007 Saffron Revolution and the brutal military crackdown in this gripping cinema-verite documentary.,Oscar nom Documentary; RT 87 MC 74; $283K; journalism as resistance; smuggled footage; monks uprising documented; bravery of citizen journalists,"Academy Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,
46,Ajami,2009,Scandar Copti and Yaron Shani,Drama/Crime,Five interlocking stories of Jews Arabs and Christians in the Jaffa neighborhood of Ajami reveal a web of crime desperation and cultural collision.,Oscar nom Foreign Language Film; RT 89 MC 71; Israeli-Palestinian collaboration; nonprofessional actors; Jaffa as microcosm; interethnic complexity,"Academy Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,
47,Mother,2009,Bong Joon-ho,Thriller/Drama,A devoted mother fights to prove her mentally disabled sons innocence after he is arrested for the murder of a young girl in Bongs masterful pre-Parasite thriller.,LA Film Critics Best Foreign; RT 95 MC 80; $17M; Kim Hye-jas performance extraordinary; Bong at his most Hitchcockian; motherly love as obsession; dancing unforgettable,"LA Film Critics, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
48,Sugar,2009,Anna Boden and Ryan Fleck,Drama,A Dominican baseball pitcher in the minor leagues struggles with isolation language barriers and the American Dream in Boden and Flecks empathetic immigration drama.,Spirit nom; RT 88 MC 70; $1M; Half in Spanish; Half Nelson team returned; baseball as immigration lens; non-professional lead; honest portrait of displacement,"Independent Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,
49,The Last Station,2009,Michael Hoffman,Drama/Biography,Leo Tolstoys final years are marked by a bitter war between his wife and his chief disciple over his legacy and fortune.,Oscar noms Actress (Mirren) + Supporting Actor (Plummer); RT 80 MC 70; $12M on $13M; Mirren and Plummer magnificent; Tolstoy marriage drama; literary prestige,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
50,A Town Called Panic,2009,Stephane Aubier and Vincent Patar,Animation/Comedy,Cowboy Indian and Horse live together and a birthday surprise gone wrong sends them on a surreal adventure underground and underwater in this deliriously anarchic Belgian stop-motion comedy.,Cannes Directors Fortnight; RT 88 MC 78; $1.5M; handmade plastic figurine animation; Belgian lunacy; children and adults equally delighted; utterly unique,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
51,White Material,2009,Claire Denis,Drama/Thriller,A French coffee plantation owner in an unnamed African country refuses to abandon her farm as civil war erupts around her in Denis gorgeous terrifying colonial twilight.,Venice 2009; RT 78 MC 71; $636K US; Huppert heroic and delusional; Denis African cinema; post-colonial complicity; landscape as menace,"Venice Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
52,Invictus,2009,Clint Eastwood,Drama/Biography,Nelson Mandela enlists the Springbok rugby captain to help unite post-apartheid South Africa through the 1995 Rugby World Cup in Eastwoods stirring historical drama.,Oscar noms Actor (Freeman) + Supporting Actor (Damon); RT 77 MC 71; $122M on $60M; Freemans Mandela commanding; sports as reconciliation; internationally resonant,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
53,Vincere,2009,Marco Bellocchio,Drama/Biography,Mussolinis first wife and their illegitimate son are imprisoned and erased from history as Il Duce rises to power in Bellocchios operatic furious political drama.,Cannes competition; RT 86 MC 76; $2.2M; Bellocchio at 70 ablaze; Mezzogiorno magnificent; Italian history as horror; archival footage and fiction fused,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
54,Sin Nombre,2009,Cary Joji Fukunaga,Drama/Crime,A Honduran girl and a Mexican gang member fleeing on the migrant train to America form a desperate bond in Fukunagas stunning debut about migration violence and hope.,Sundance Director Prize; RT 93 MC 69; $5.7M on $2M; Fukunaga debut (pre-True Detective); Central American migration epic; train sequences breathtaking,"Sundance Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
55,Life During Wartime,2009,Todd Solondz,Drama/Comedy,The characters from Happiness have relocated to Florida and continue their painful searches for forgiveness and connection in Solondzs bold unexpected sequel.,Venice Best Screenplay; RT 73 MC 67; $600K; Solondz revisited his masterpiece; new cast in same roles; forgiveness interrogated; Child psychopath grown up,"Venice Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
56,Tyson,2009,James Toback,Documentary,Mike Tyson tells his own story from childhood through his championship years prison and redemption in Tobacks unexpectedly moving intimate portrait.,Cannes 2009; RT 84 MC 71; $1M; Tyson vulnerable and reflective; Toback long-time friendship allowed access; split-screen monologues; more complex than expected,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
57,The Young Victoria,2009,Jean-Marc Vallee,Drama/Biography,The early years of Queen Victorias reign and her romance with Prince Albert are dramatized in Vallees sumptuous period piece.,Oscar Costume Design; RT 76 MC 55; $28M on $35M; Blunt and Bettany; Hathaway produced; Victorian era polished; Vallee pre-Dallas Buyers Club,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
58,Looking for Eric,2009,Ken Loach,Comedy/Drama,A depressed Manchester postman receives life advice from the ghost of football legend Eric Cantona in Loachs charming unexpected crowd-pleaser blending social realism and fantasy.,Cannes competition; RT 79 MC 68; $7.5M; Loach at his warmest; Cantona playing himself; working-class community celebrated; Manchester soul,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
59,Tetro,2009,Francis Ford Coppola,Drama,A young man visits his estranged older brother in Buenos Aires and discovers explosive family secrets about their famous father in Coppolas intensely personal black-and-white drama.,Cannes Directors Fortnight; RT 65 MC 55; $2.6M; Coppola returned to personal filmmaking; Ehrenreich before Star Wars; Buenos Aires beautifully shot; literary ambition,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
60,Everyone Else,2009,Maren Ade,Drama/Romance,A couples holiday in Sardinia becomes an excruciating examination of power dynamics and emotional manipulation in Ades razor-sharp relationship drama.,Berlin Silver Bear Grand Jury Prize + Actress (Minichmayr); RT 80 MC 72; Ade pre-Toni Erdmann; German cinema discovery; domestic micro-aggressions catalogued with painful precision,"Berlin Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
61,Drag Me to Hell,2009,Sam Raimi,Horror/Comedy,A loan officer who evicts an elderly woman is cursed to eternal damnation and has three days to break the spell in Raimis gleefully terrifying return to horror.,RT 92 MC 83; $91M on $30M; 3x return; Raimi returned to Evil Dead roots; Lohman committed; button sequence; ending perfect; PG-13 horror that actually scared,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
62,Black Dynamite,2009,Scott Sanders,Comedy/Action,A kung-fu fighting ex-CIA agent declares war on the Man after his brother is killed and drugs flood the orphanage in this pitch-perfect loving blaxploitation parody.,Sundance premiere; RT 84 MC 72; $249K theatrical; Michael Jai White wrote and starred; cult classic status immediate; quotable; genre parody as genuine genre mastery,"Sundance Film Festival, Metacritic, Rotten Tomatoes, Letterboxd",,,,
63,I Love You Man,2009,John Hamburg,Comedy,A friendless groom-to-be goes on a series of man-dates to find a best man and bonds with an oversharing free spirit in Hamburgs winning bromance comedy.,RT 83 MC 71; $92M on $40M; Segel Rudd chemistry perfect; Rush soundtrack bonding; Slappin da bass; 2.3x return; bromance subgenre perfected,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
64,The Hangover,2009,Todd Phillips,Comedy,Three groomsmen wake up in a trashed Las Vegas suite with no memory of the night before and a missing groom and must retrace their steps in Phillips raucous blockbuster comedy.,Golden Globe Comedy/Musical; RT 78 MC 73; $467M on $35M; 13.3x return; comedy phenomenon of the decade; Cooper Galifianakis Helms; baby and tiger iconic,"Golden Globes, Metacritic, Rotten Tomatoes, Box Office Mojo",,,4,2026-04-02T08:06:46.075Z
65,Wild Grass,2009,Alain Resnais,Drama/Romance,A stolen wallet brings together a dentist and a retired man in Resnais playfully mysterious romance about obsession and the unknowability of desire.,Cannes competition; RT 67 MC 59; $728K; Resnais at 87 still inventive; Dussolier Azema; French cinematic intelligence; late-career marvel,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,
66,The Imaginarium of Doctor Parnassus,2009,Terry Gilliam,Fantasy/Adventure,An immortal storyteller who made a deal with the Devil runs a traveling show where audiences enter a magical mirror world in Gilliams last film to feature Heath Ledger.,Cannes out of competition; RT 65 MC 60; $62M on $30M; Ledger died during filming; Depp Law Farrell completed his scenes; Gilliams imagination unleashed,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
67,Soul Kitchen,2009,Fatih Akin,Comedy/Drama,A Hamburg restaurateur struggles to keep his business afloat while dealing with a scheming brother a departing girlfriend and a temperamental new chef in Akins warm ensemble comedy.,Venice Special Jury Prize; RT 71 MC 59; $12M; Akin departed from drama; Hamburg multicultural comedy; food and community; lighter Akin equally enjoyable,"Venice Film Festival, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,
68,Enter the Void,2009,Gaspar Noe,Drama/Experimental,A drug dealer shot dead in a Tokyo bathroom experiences death as an out-of-body journey through his past present and the neon afterlife in Noes visually overwhelming odyssey.,Cannes Directors Fortnight; RT 64 MC 57; $1.6M; formally radical; first-person death POV; Tokyo as psychedelic underworld; Tibetan Book of the Dead as structure,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Letterboxd",,,,
69,Valhalla Rising,2009,Nicolas Winding Refn,Action/Drama,A mute one-eyed Norse warrior escapes captivity and leads a band of Crusaders on a hallucinatory journey to an unknown land in Refns primal mythic Viking film.,Venice 2009; RT 72 MC 57; $72K US; Mikkelsen wordless; Refn pre-Drive mysticism; Viking art-horror; deeply polarizing; punishingly slow or transcendently beautiful,"Venice Film Festival, Metacritic, Rotten Tomatoes, Letterboxd",,,,
