Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp,RankOverride
11,The Wonders,2015,Alice Rohrwacher,Drama,A beekeeping family in rural Italy faces upheaval when a teenager becomes enchanted by a television talent show in Rohrwachers tender naturalistic portrait of tradition meeting modernity.,Cannes Grand Prix (2014); RT 88 MC 74; Rohrwacher Italian pastoral; tradition versus modernity; adolescent yearning; family dynamics; gentle naturalism,"Cannes Film Festival, Metacritic, Rotten Tomatoes",,,,,
12,The Lobster,2015,Yorgos Lanthimos,Comedy/Drama,In a dystopian society single people must find a romantic partner within 45 days or be transformed into an animal of their choosing in Lanthimos absurdist dark comedy.,Cannes Jury Prize; RT 87 MC 82; Farrell Weisz Lea Seydoux; Lanthimos international breakthrough; deadpan dystopia; relationship satire; cult classic,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,1,,,
13,Inside Out,2015,Pete Docter,Animation/Drama,A young girls emotions struggle for control as she adjusts to a new city in Pixars inventive heartfelt exploration of the inner workings of the mind.,Oscar Best Animated Feature; Golden Globe Animated; BAFTA Animated; RT 98 MC 94; $857M worldwide; Joy Sadness iconic; Pixar emotional intelligence masterwork,"Academy Awards, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes",,,4,2026-04-01T15:46:54.308Z,
14,Brooklyn,2015,John Crowley,Romance/Drama,A young Irish woman emigrates to 1950s Brooklyn where she falls in love only to be pulled back to Ireland forcing an impossible choice between two countries and two men.,3 Oscar noms (Picture Actress Adapted Screenplay); BAFTA British Film; RT 97 MC 87; Ronan luminous; Toibin adaptation; Hornby screenplay; immigrant experience,"Academy Awards, BAFTA, Metacritic, Rotten Tomatoes",,,,,
15,The Martian,2015,Ridley Scott,Sci-Fi/Drama,An astronaut stranded on Mars must use his ingenuity to survive and signal Earth for rescue in Scotts crowd-pleasing adaptation of Andy Weirs bestselling novel.,7 Oscar noms (Picture Actor); Golden Globe Comedy Picture + Actor; RT 91 MC 80; $630M worldwide; Damon charming; science as optimism; Scotts late-career triumph,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes, Box Office Mojo",,,4,2026-04-01T10:45:12.187Z,
16,The Second Mother,2015,Anna Muylaert,Comedy/Drama,A live-in housekeeper for a wealthy Sao Paulo family has her carefully ordered world upended when her estranged daughter arrives to apply for a position in the same household in Muylaerts compassionate class comedy.,Sundance Special Jury Prize + Audience Award World Cinema; RT 98 MC 86; Regina Case luminous career resurgence; Camila Mardila breakout; Brazilian Oscar submission; class boundary and domestic labour; Muylaert empathetic debut; Sao Paulo haute bourgeoisie dissected with warmth,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,,
17,Steve Jobs,2015,Danny Boyle,Biography/Drama,Three product launches frame the dramatic story of Apples visionary co-founder as he navigates betrayed colleagues and fractured family relationships in Boyles electric three-act portrait.,2 Oscar noms (Actor Supporting Actress); Golden Globe nom Actor; BAFTA Supporting Actress (Winslet); RT 85 MC 82; Fassbender Winslet Rogen; Sorkin screenplay; Boyle energy,"Academy Awards, Golden Globes, BAFTA, Metacritic, Rotten Tomatoes",,,,,
18,Beasts of No Nation,2015,Cary Joji Fukunaga,Drama/War,A young boy in a West African country is swept up in civil war and conscripted as a child soldier under a charismatic and terrifying commandant.,Venice Mastroianni Award (Abraham Attah); Spirit Best Male Lead (Attah) + Supporting Male (Elba); RT 91 MC 79; Fukunaga directing; Netflix first theatrical; Elba commanding,"Venice Film Festival, Spirit Awards, Metacritic, Rotten Tomatoes",,,,,
19,Amy,2015,Asif Kapadia,Documentary,Kapadias intimate portrait of Amy Winehouse traces her extraordinary talent and devastating decline through archival footage and the voices of those closest to her.,Oscar Best Documentary; BAFTA Documentary; RT 97 MC 86; Kapadia archival mastery; Winehouse tragedy; music documentary landmark; fame as destruction,"Academy Awards, BAFTA, Metacritic, Rotten Tomatoes",,,3,2026-04-01T10:45:28.304Z,
20,Embrace of the Serpent,2015,Ciro Guerra,Drama/Adventure,Two journeys along the Amazon decades apart follow a shaman as he guides Western scientists into the heart of the rainforest in Guerras visually stunning black-and-white meditation.,Oscar nom Foreign Language; Cannes Directors Fortnight Art Cinema Award; RT 98 MC 85; Colombian cinema landmark; indigenous perspective; dual timeline; Amazonian beauty,"Academy Awards, Cannes Film Festival, Metacritic, Rotten Tomatoes",,,,,
21,Winter on Fire: Ukraine's Fight for Freedom,2015,Evgeny Afineevsky,Documentary,The story of the Euromaidan protests in Ukraine is told through 93 days of civil unrest that transformed the nation in Afineevskys urgent chronicle of democratic revolution.,Oscar nom Documentary; TIFF Peoples Choice Documentary; RT 89 MC 71; Ukrainian Euromaidan; democratic resistance; Afineevsky embedded filmmaking; protest documentary,"Academy Awards, TIFF, Metacritic, Rotten Tomatoes",,,,,
22,45 Years,2015,Andrew Haigh,Drama,A couples preparations for their 45th wedding anniversary are disrupted when the husband receives news that his first loves body has been discovered frozen in the Alps.,Berlin Best Actor (Courtenay) + Best Actress (Rampling); RT 97 MC 92; Rampling Oscar nom; Haigh precision; marriage examined; quiet devastation; British restraint,"Berlin Film Festival, Academy Awards, Metacritic, Rotten Tomatoes",,,,,
23,Creed,2015,Ryan Coogler,Drama/Sport,The illegitimate son of Apollo Creed seeks out Rocky Balboa to train him as a professional boxer in Cooglers electrifying franchise revival that reinvented the sports drama.,Oscar nom Supporting Actor (Stallone); RT 95 MC 82; Jordan Stallone; Coogler single-take fight; franchise reinvention; generational legacy; Philadelphia spirit,"Academy Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,,
24,Bridge of Spies,2015,Steven Spielberg,Drama/Thriller,An insurance lawyer is recruited to negotiate the release of a captured American U-2 pilot during the Cold War in Spielbergs polished true-story espionage drama.,Oscar Supporting Actor (Mark Rylance); 6 noms including Picture; BAFTA Supporting Actor; RT 91 MC 81; Hanks Rylance; Spielberg craftsmanship; Coen brothers co-wrote,"Academy Awards, BAFTA, Metacritic, Rotten Tomatoes",,1,,,
25,Anomalisa,2015,Charlie Kaufman and Duke Johnson,Animation/Drama,A motivational speaker trapped in the mundanity of his existence encounters a woman whose voice is uniquely distinct in Kaufmans extraordinary stop-motion exploration of loneliness and connection.,Venice Grand Jury Prize; Oscar nom Animated; RT 92 MC 87; Kaufman existentialism; stop-motion adults; Thewlis Leigh voices; Fregoli delusion; formally radical,"Venice Film Festival, Academy Awards, Metacritic, Rotten Tomatoes",,,,,
26,Star Wars: The Force Awakens,2015,J.J. Abrams,Sci-Fi/Adventure,A scavenger a stormtrooper and a pilot are drawn into the conflict between the Resistance and the First Order as they search for the vanished Luke Skywalker.,5 Oscar noms; RT 93 MC 80; $2.07B worldwide (3rd highest ever); Ridley Boyega Isaac Driver; franchise revival; cultural event; fastest to $1B,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,3,2026-04-01T15:47:12.079Z,
27,Ex Machina,2015,Alex Garland,Sci-Fi/Thriller,A programmer is invited to administer a Turing test on a beautiful humanoid AI and discovers the experiment is far more sinister than it appears in Garlands prescient debut.,Oscar Best VFX; Spirit nom; RT 92 MC 78; Vikander Isaac Gleeson; AI discourse prescient; Garland directorial debut; sci-fi chamber piece perfection,"Academy Awards, Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire",1,,4,2026-04-01T15:47:03.225Z,
28,Sicario,2015,Denis Villeneuve,Thriller,An idealistic FBI agent is recruited for a covert operation along the US-Mexico border that tests her moral limits in Villeneuves relentlessly tense drug war thriller.,3 Oscar noms (Cinematography Score Sound Editing); RT 92 MC 82; Blunt Del Toro Brolin; Deakins cinematography; border crossing sequence iconic; Villeneuve precision,"Academy Awards, Metacritic, Rotten Tomatoes, IndieWire",,1,,,
29,Rams,2015,Grimur Hakonarson,Drama/Comedy,Two feudal elderly brothers in rural Iceland who have not spoken for 40 years are forced to cooperate when a disease threatens to destroy their prize sheep herds in Hakonarsons dryly funny and quietly devastating portrait of masculine stubbornness and reluctant reconciliation.,Cannes Un Certain Regard; BAFTA nom Foreign Language Film; RT 97 MC 77; Hakonarson debut feature; Sigurdur Sigurjonsson Theodor Julíusson; Icelandic sheep farming; Nordic sensibility; sibling estrangement; dark comedy of rural pride; one of years most overlooked gems,"Cannes Film Festival, BAFTA, Metacritic, Rotten Tomatoes",,1,,,
30,Tangerine,2015,Sean Baker,Comedy/Drama,Two transgender sex workers tear through the streets of Los Angeles on Christmas Eve hunting down a cheating boyfriend in Bakers vibrant energetic breakthrough shot entirely on iPhone.,Spirit Supporting Female (Mya Taylor); RT 96 MC 86; iPhone filmmaking landmark; trans representation; Baker breakthrough; Christmas Eve LA energy; Kiki Rodriguez Taylor extraordinary,"Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire, Sight and Sound",,1,,,
31,Mustang,2015,Deniz Gamze Erguven,Drama,Five orphaned sisters in a conservative Turkish village have their freedoms progressively stripped away as their guardians arrange marriages in Erguvens fierce feminist debut.,Oscar nom Foreign Language; Cesar Best First Film; RT 95 MC 82; Turkish feminism; sisterhood resistance; Erguven debut; coming-of-age; patriarchal oppression,"Academy Awards, Cesar Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,,
32,The Diary of a Teenage Girl,2015,Marielle Heller,Drama/Comedy,A teenage aspiring comic artist begins an affair with her mothers boyfriend in 1970s San Francisco in Hellers frank daring coming-of-age debut about female sexuality and self-discovery.,Spirit Best First Feature; RT 95 MC 87; Powley breakout; Skarsgard Wiig; Heller debut; female sexuality; graphic novel adaptation; 1970s counterculture,"Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,,
33,The Witch,2015,Robert Eggers,Horror,A Puritan family in 1630s New England encounters forces of evil in the surrounding forest as paranoia and religious hysteria tear them apart in Eggers meticulously crafted period horror.,Sundance Directing Award; Spirit Robert Altman Award nom; RT 90 MC 83; Taylor-Joy breakout; Eggers debut; elevated horror; period authenticity; Black Phillip iconic,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,1,,,
34,Phoenix,2015,Christian Petzold,Drama/Thriller,A Holocaust survivor who has undergone facial reconstruction surgery returns to postwar Berlin and is not recognized by her husband who asks her to impersonate his supposedly dead wife.,RT 98 MC 90; Hoss Zehrfeld; Petzold identity thriller; final scene devastating; Vertigo resonance; German postwar guilt; identity reconstruction as metaphor,"Metacritic, Rotten Tomatoes, IndieWire, Sight and Sound",,,,,
35,The Danish Girl,2015,Tom Hooper,Drama/Biography,A painter begins a groundbreaking journey as a transgender pioneer in 1920s Copenhagen straining the marriage that inspired the transformation in Hoopers lush biographical drama.,Oscar Supporting Actress (Alicia Vikander); 4 noms; Golden Globe noms; RT 67 MC 66; Redmayne Vikander; Lili Elbe story; transgender representation; Vikander breakout year,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes",,,,,
36,Slow West,2015,John Maclean,Western,A young Scottish man travels across 1870s America to reunite with the woman he loves accompanied by a mysterious bounty hunter in Macleans gorgeous laconic debut western.,Sundance Grand Jury Prize World Cinema; RT 92 MC 72; Fassbender Smit-McPhee Mendelsohn; poetic western; Scottish perspective; Maclean debut; beautiful violence,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,1,,,
37,Best of Enemies,2015,Morgan Neville and Robert Gordon,Documentary,The legendary 1968 televised debates between conservative William F. Buckley Jr and liberal Gore Vidal are examined as the birth of modern polarized political media.,Sundance Audience Award Documentary (shared); RT 95 MC 76; Neville directing; political polarization origins; Buckley Vidal rivalry; media history; prescient documentary,"Sundance Film Festival, Metacritic, Rotten Tomatoes",,,,,
38,Cemetery of Splendour,2015,Apichatpong Weerasethakul,Drama/Fantasy,Soldiers afflicted with a mysterious sleeping sickness are cared for in a hospital built over an ancient burial ground in Weerasethakuls luminous meditative dreamscape.,Cannes Un Certain Regard; RT 92 MC 81; Weerasethakul dreaming; Thai spirituality; sleeping soldiers; luminous imagery; political metaphor; sensory cinema,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,,,,
39,Krisha,2015,Trey Edward Shults,Drama,An estranged woman returns to her familys home for Thanksgiving dinner and struggles to maintain composure as old wounds reopen in Shults extraordinary micro-budget debut.,Spirit Cassavetes Award nominee; RT 96 MC 79; Shults debut; real family cast; Thanksgiving drama; addiction relapse; 16mm texture; Shults pre-Waves; festival sensation,"Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,,
40,The Hateful Eight,2015,Quentin Tarantino,Western/Thriller,Eight strangers trapped in a stagecoach stopover during a blizzard discover that one among them is not who they claim to be in Tarantinos tense claustrophobic whodunit.,Oscar Best Score (Ennio Morricone); Golden Globe Score; RT 74 MC 68; Jackson Russell Leigh; Ultra Panavision 70mm; Morricone legendary score; Tarantino chamber piece,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes",1,1,4,2026-04-01T15:47:32.284Z,
41,Cartel Land,2015,Matthew Heineman,Documentary,Heineman follows vigilante groups on both sides of the US-Mexico border fighting drug cartels revealing the moral complexities of taking justice into your own hands.,Sundance Directing Award Documentary; Oscar nom Documentary; RT 88 MC 78; Heineman courage; border violence; vigilante justice; documentary danger; Mexican cartels,"Sundance Film Festival, Academy Awards, Metacritic, Rotten Tomatoes",,,,,
42,Arabian Nights,2015,Miguel Gomes,Drama/Fantasy,A sprawling three-volume portrait of contemporary Portugal uses the framework of Scheherazades stories to weave together fiction documentary and political allegory.,Cannes Directors Fortnight; RT 96 MC 84 (Vol 1); Gomes ambitious; Portuguese austerity; three-part epic; political fable; formally radical; Scheherazade structure,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,,,,
43,Meru,2015,Jimmy Chin and Elizabeth Chai Vasarhelyi,Documentary,Three elite climbers attempt to summit the Sharks Fin route on Mount Meru in the Himalayas one of mountaineerings most coveted and dangerous prizes.,Sundance Audience Award Documentary; RT 90 MC 73; Chin Vasarhelyi pre-Free Solo; mountain climbing spectacle; perseverance narrative; breathtaking footage,"Sundance Film Festival, Metacritic, Rotten Tomatoes",1,,4,2026-04-01T15:47:42.157Z,
44,Joy,2015,David O. Russell,Biography/Comedy,A struggling single mother invents the Miracle Mop and fights to build a business empire against all odds in Russells uneven but watchable entrepreneurial biographical drama.,Oscar nom Actress (Lawrence); Golden Globe Actress Comedy (Lawrence); RT 60 MC 56; Lawrence De Niro Cooper; Russell-Lawrence fourth collaboration; inventor story,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes",,,,,
45,Me and Earl and the Dying Girl,2015,Alfonso Gomez-Rejon,Comedy/Drama,A high school senior who makes amateur film parodies with his best friend is forced by his mother to befriend a classmate who has been diagnosed with leukemia.,Sundance Grand Jury Prize + Audience Award; RT 81 MC 75; Thomas Mann Olivia Cooke; Gomez-Rejon visual flair; cinephile humor; teen dramedy; Sundance sensation,"Sundance Film Festival, Metacritic, Rotten Tomatoes",,,,,
46,The Wolfpack,2015,Crystal Moselle,Documentary,Six brothers raised in near-total isolation in a Lower East Side apartment experience the world almost entirely through movies recreating their favorite films in their living room.,Sundance Grand Jury Prize Documentary; RT 82 MC 68; Moselle debut; Angulo brothers; cinema as lifeline; isolation narrative; New York story; documentary sensation,"Sundance Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,,
47,A War,2015,Tobias Lindholm,Drama/War,A Danish military commander in Afghanistan makes a split-second decision that saves his men but leads to civilian deaths and a court martial in Lindholms measured morally complex portrait of leadership and consequence.,Oscar nom Foreign Language; RT 89 MC 81; Pilou Asbaek Tuva Novotny; Lindholm A Hijacking follow-up; moral ambiguity of modern warfare; rules of engagement; Asbaek commanding; family vs frontline; Danish cinema landmark,"Academy Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,,
48,Aferim!,2015,Radu Jude,Drama/Western,A 19th-century Wallachian constable and his son ride across the countryside to capture a runaway Roma slave in Judes formally rigorous and darkly comic historical indictment.,Berlin Best Director; RT 97 MC 78; Romanian cinema; Roma slavery history; black-and-white; Jude moral examination; Wallachian western; historical reckoning,"Berlin Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,,,,
49,Victoria,2015,Sebastian Schipper,Thriller/Drama,A young Spanish woman in Berlin is drawn into a bank heist after a night out with a group of local men in Schippers astonishing film shot in a single unbroken 138-minute take.,Lola Best Film (German Film Awards); RT 95 MC 79; genuine single take; Laia Costa luminous; Berlin nightlife; technical marvel; improvised dialogue; real-time thriller,"German Film Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,,
50,Girlhood,2015,Celine Sciamma,Drama,A Black teenage girl in the Paris banlieues finds freedom and identity through a group of defiant young women in Sciammas vibrant empowering coming-of-age portrait.,Cannes Directors Fortnight 2014; RT 93 MC 80; Sciamma vision; Black girlhood; Paris banlieue; sisterhood; Rihanna karaoke scene iconic; Sciamma pre-Portrait,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,,
51,Trumbo,2015,Jay Roach,Biography/Drama,Screenwriter Dalton Trumbo fights against the Hollywood blacklist after being jailed for refusing to testify before the House Un-American Activities Committee in Roachs prestige biopic.,Oscar nom Actor (Cranston); Golden Globe nom; RT 72 MC 60; Cranston commanding; blacklist history; Mirren as Hedda Hopper; Hollywood self-examination; free speech,"Academy Awards, Golden Globes, Metacritic, Rotten Tomatoes",,,,,
52,Love and Mercy,2015,Bill Pohlad,Biography/Drama,The life of Beach Boys leader Brian Wilson is depicted across two timelines exploring his creative genius in the 1960s and his struggles under a controlling therapist in the 1980s.,Spirit nom; RT 89 MC 77; Cusack Dano Banks; dual timeline; Wilson musical genius; Landy abuse; Beach Boys legacy; Pohlad sensitive direction,"Spirit Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,,
53,The Pearl Button,2015,Patricio Guzman,Documentary,Guzman explores Chiles relationship with the ocean and its indigenous peoples connecting water to the countrys history of political violence and disappearance in his poetic essay film.,Berlin Best Screenplay; RT 93 MC 80; Guzman documentary poetry; Chilean history; water mythology; Pinochet legacy; essay film; Nostalgia for the Light companion,"Berlin Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,,,,
54,What Happened Miss Simone,2015,Liz Garbus,Documentary,The life of Nina Simone is chronicled from her classical piano training through her rise as a jazz icon and civil rights activist to her troubled later years.,Oscar nom Documentary; RT 89 MC 74; Simone complexity; civil rights music; genius and fury; Netflix documentary; Garbus intimate portrait; archival footage,"Academy Awards, Metacritic, Rotten Tomatoes",,,,,
55,Straight Outta Compton,2015,F. Gary Gray,Biography/Music,The rise and turbulent history of pioneering gangsta rap group NWA is chronicled from the streets of Compton to their explosive cultural impact in Grays vibrant biographical drama.,Oscar nom Screenplay; RT 88 MC 72; $201M domestic (highest-grossing music biopic); OShea Jackson Jr as his father; Dre Cube Eazy-E; cultural phenomenon,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,,
56,Ixcanul,2015,Jayro Bustamante,Drama,A Mayan teenager on a Guatemalan coffee plantation dreams of escaping to America but is ensnared by the machinations of her family and the exploitation surrounding her.,Berlin Alfred Bauer Prize; RT 94 MC 71; Bustamante debut; Guatemalan cinema; indigenous perspective; Kaqchikel language; volcanic setting; colonial legacy,"Berlin Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,,
57,The Club,2015,Pablo Larrain,Drama,A group of disgraced Catholic priests living in quiet exile in a Chilean seaside town are disrupted by the arrival of a young counselor investigating their crimes.,Berlin Grand Jury Prize; RT 90 MC 74; Larrain institutional critique; Chilean cinema; priest exile; accountability; dark character study; Larrain pre-Neruda,"Berlin Film Festival, Metacritic, Rotten Tomatoes",,,,,
58,Cinderella,2015,Kenneth Branagh,Fantasy/Romance,A kind young woman endures cruelty from her stepmother and stepsisters before a fairy godmother transforms her for a royal ball in Branaghs lavish live-action Disney reimagining.,Oscar nom Costume; RT 84 MC 67; $543M worldwide; James Blanchett; Branagh elegance; Disney live-action wave; production design; classic fairy tale sincerity,"Academy Awards, Metacritic, Rotten Tomatoes, Box Office Mojo",,,,,
59,Youth,2015,Paolo Sorrentino,Drama/Comedy,An aging composer on holiday at an elegant Swiss Alpine resort contemplates his life art and mortality alongside his filmmaker best friend in Sorrentinos sumptuous meditation.,Cannes competition; European Film Awards; RT 72 MC 62; Caine Keitel Fonda Weisz; Sorrentino visual beauty; aging and art; Swiss spa elegance; Caine luminous,"Cannes Film Festival, Metacritic, Rotten Tomatoes",,,,,
60,Mountains May Depart,2015,Jia Zhangke,Drama,A woman in a small Chinese mining town is courted by two men at the dawn of the millennium in Jias sweeping triptych spanning three decades and three aspect ratios.,Cannes competition; RT 86 MC 80; Zhao Tao leading; China economic transformation; triptych structure; temporal shift; Go West recurring motif; Jia ambitious scope,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,,,,
61,Sleeping Giant,2015,Andrew Cividino,Drama,Three teenagers spending the summer at Lake Superior push each other toward increasingly dangerous behavior in Cividinos tense coming-of-age debut.,TIFF Best Canadian First Feature; RT 94 MC 72; Cividino debut; lakeside adolescence; masculine bravado; Canadian cinema; peer pressure; summer danger,"TIFF, Metacritic, Rotten Tomatoes",,,,,
62,The Assassin,2015,Hou Hsiao-hsien,Martial Arts/Drama,A Tang Dynasty assassin sent to kill the governor of a rebellious province struggles with her mission when she discovers he is her former betrothed in Hous ravishing contemplative wuxia.,Cannes Best Director; RT 84 MC 80; Hou masterwork; Shu Qi; wuxia reimagined; painterly compositions; 9th century China; meditative action; formally exquisite,"Cannes Film Festival, Metacritic, Rotten Tomatoes, Sight and Sound",,1,,,
63,The Tribe,2015,Miroslav Slaboshpitsky,Drama/Crime,A deaf teenager enters a boarding school controlled by a violent criminal gang conducted entirely in Ukrainian Sign Language with no subtitles or voiceover in Slaboshpitskys formally audacious debut.,Cannes Critics Week Grand Prize; RT 84 MC 73; no dialogue no subtitles; deaf narrative; formal audacity; Slaboshpitsky debut; visceral intensity,"Cannes Film Festival, Metacritic, Rotten Tomatoes, IndieWire",,,,,
64,The Measure of a Man,2015,Stephane Brize,Drama,An unemployed factory worker navigates the indignities of the job market and faces moral dilemmas when he finally finds work as a supermarket security guard.,Cannes Best Actor (Vincent Lindon); RT 82 MC 70; Lindon extraordinary; working-class dignity; Brize social realism; French labor; economic humiliation; quiet power,"Cannes Film Festival, Metacritic, Rotten Tomatoes",,,,,
65,Listen to Me Marlon,2015,Stevan Riley,Documentary,Marlon Brandos life and philosophy are told entirely through his own private audio recordings and home movies in Rileys haunting posthumous self-portrait of the legendary actor.,RT 95 MC 81; Brando in his own words; audio archive unprecedented; acting philosophy; Hollywood critique from within; Brando vulnerability; Riley innovation,"Metacritic, Rotten Tomatoes, IndieWire, Sight and Sound",,,,,
66,Going Clear: Scientology and the Prison of Belief,2015,Alex Gibney,Documentary,Gibney investigates the Church of Scientology through interviews with former high-ranking members revealing allegations of abuse surveillance and manipulation.,Emmy Outstanding Documentary; RT 95 MC 80; Gibney investigation; Scientology expose; Wright book adaptation; Tom Cruise L. Ron Hubbard; HBO premiere,"Emmy Awards, Metacritic, Rotten Tomatoes, IndieWire",,,,,
67,Macbeth,2015,Justin Kurzel,Drama/War,Shakespeare's Scottish king descends into madness and murder after witches prophesy his rise to power in Kurzels visually stunning blood-soaked adaptation.,Cannes competition; RT 79 MC 71; Fassbender Cotillard; Kurzel visual poetry; Scottish landscapes; Shakespeare adaptation; visceral violence; atmospheric dread,"Cannes Film Festival, Metacritic, Rotten Tomatoes",,1,,,
