Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp,RankOverride
18,Mike & Nick & Nick & Alice,2026,BenDavid Grabinski,Action,Two gangsters and the woman they love fight to survive the most dangerous night of their lives in this stylized R-rated action-comedy - and then a time machine enters the volatile mix - starring Eiza González and Vince Vaughn.,79% Certified Fresh RT (81 reviews); Hulu/Disney+ Original,Rotten Tomatoes; New York Magazine/Vulture,,1,,,
19,The Rip,2026,Joe Carnahan,Crime,Miami cops discover millions in a derelict stash house and trust begins to fray in Joe Carnahan's potboiler thriller - reuniting Ben Affleck and Matt Damon whose friendship tested by greed delivers compulsively watchable chemistry against a backdrop of sun-drenched corruption.,79% Certified Fresh RT; Ben Affleck and Matt Damon reunion,Rotten Tomatoes,,,,,
20,Primate,2026,Johannes Roberts,Horror,A group of friends' tropical vacation turns into a terrifying primal tale of horror and survival in Johannes Roberts' lean and mean creature chiller.,78% Certified Fresh RT,Rotten Tomatoes,,,,,
21,People We Meet on Vacation,2026,Brett Haley,Romance,Free-spirited Poppy (Emily Bader) and routine-loving Alex (Tom Blyth) have been best friends for a decade - spending every summer together until everything changes - a breezy and charming adaptation with compelling leads that delivers a romantic endeavour worth staying for.,76% Certified Fresh RT,Rotten Tomatoes,,,,,
22,The Wrecking Crew,2026,Angel Manuel Soto,Action,Two estranged half-brothers Jonny (Jason Momoa) and James (Dave Bautista) are forced to reunite after their father's mysterious death in Angel Manuel Soto's brawny action comedy - as charming and explosive as its two leads.,74% Certified Fresh RT,Rotten Tomatoes,,,,,
23,Scarlet,2026,Mamoru Hosoda,Animation,A sword-wielding princess embarks on a dangerous quest to avenge her father's death and meets an idealistic young man who shows her another path - Mamoru Hosoda's visually awe-inspiring anime riff on Hamlet with wondrous animation and an unforgettable atmosphere.,72% Certified Fresh RT; Mamoru Hosoda (Wolf Children; The Boy and the Beast),Rotten Tomatoes,,1,,,
24,Project Hail Mary,2026,Phil Lord & Christopher Miller,Sci-Fi,An astronaut on a desperate space mission to save Earth connects with an alien in this touching sci-fi adventure that blends spectacle with heart - Ryan Gosling delivers charm and gravitas while Sandra Hüller shines as the enigmatic alien ally.,95% Certified Fresh RT (274 reviews); Directors Phil Lord & Christopher Miller,Rotten Tomatoes,,1,,,
25,The Odyssey,2026,Christopher Nolan,Adventure,Christopher Nolan's epic adaptation of Homeric legend - Odysseus (Matt Damon) embarks on a perilous journey home after the Trojan War in this grand-scale adventure of heroism and survival featuring Tom Holland and Anne Hathaway. July 17 2026 release.,Directed by Christopher Nolan; Universal Pictures; Cannes Selection,Rotten Tomatoes,,1,,,
26,Disclosure Day,2026,Steven Spielberg,Sci-Fi,Alien disclosure thriller centering on humanity's reaction to confirmed extraterrestrial life - an intimate ensemble drama examining fear - wonder - and the implications of first contact. Re-teams Spielberg with screenwriter David Koepp on this original Amblin Entertainment concept.,Upcoming (June 12 2026 release); Steven Spielberg original concept,Rotten Tomatoes,,1,,,
27,Psycho Killer,2026,Gavin Polone,Horror,A visceral psychological horror-thriller following a killer's descent into madness - starring Georgina Campbell - James Preston Rogers - and Grace Dove in a claustrophobic portrait of terror and delusion.,10% Rotten,Rotten Tomatoes,,1,,,
28,Ready or Not 2: Here I Come,2026,Matt Bettinelli-Olpin,Horror,Moments after surviving an all-out attack from the Le Domas family - Grace (Samara Weaving) discovers she's reached the next level of the nightmarish game with her estranged sister Faith (Kathryn Newton) at her side. Grace must survive - keep her sister alive - and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne - and whoever wins rules it all.,74% Certified Fresh RT (197 reviews); audience score 90%,Rotten Tomatoes,,1,,,
29,The Drama,2026,Kristoffer Borgli,Romance/Comedy,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,83% Certified Fresh RT (90 reviews),Rotten Tomatoes,,1,,,
431,Backrooms,2026,Kane Parsons,Horror/Mystery/Sci-Fi,A strange doorway appears in the basement of a furniture showroom.,,https://www.imdb.com/title/tt26657236/,,1,,,
436,Hokum,2026,Damian McCarthy,Horror/Mystery,"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",,https://www.imdb.com/title/tt35672862/,,1,,,
